task,task_type,method_group,method,primary_metric,primary_mean,primary_std,n_seeds,source,split,n_train,n_val,n_test,AUROC_mean_std,AUPRC_mean_std,Accuracy_mean_std,LogLoss_mean_std,MAE_mean_std,RMSE_mean_std,R2_mean_std
BACE,classification,classic-ensemble,ExtraTrees_ECFPDesc,AUROC,0.8478373702422145,0.001054206527823848,5,ours_rerun_same_split,scaffold_balanced,1039,236,238,0.847837 +/- 0.001054,0.868150 +/- 0.001564,0.768908 +/- 0.002657,0.489748 +/- 0.000756,nan +/- nan,nan +/- nan,nan +/- nan
BACE,classification,classic-ensemble,RF_ECFPDesc,AUROC,0.8395040369088813,0.002550966209912797,5,ours_rerun_same_split,scaffold_balanced,1039,236,238,0.839504 +/- 0.002551,0.857661 +/- 0.003929,0.790756 +/- 0.003144,0.479822 +/- 0.004019,nan +/- nan,nan +/- nan,nan +/- nan
BACE,classification,classic-kernel,SVM_RBF_Desc,AUROC,0.7613538062283737,0.0,5,ours_rerun_same_split,scaffold_balanced,1039,236,238,0.761354 +/- 0.000000,0.728413 +/- 0.000000,0.743697 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan
BACE,classification,classic-linear,LR_ECFPDesc,AUROC,0.8491565743944637,0.0,5,ours_rerun_same_split,scaffold_balanced,1039,236,238,0.849157 +/- 0.000000,0.857488 +/- 0.000000,0.785714 +/- 0.000000,0.575078 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan
BACE,classification,descriptor-boosting,XGB_ECFPDesc,AUROC,0.8448457324106113,0.002369656320271619,5,ours_rerun_same_split,scaffold_balanced,1039,236,238,0.844846 +/- 0.002370,0.863266 +/- 0.003837,0.778151 +/- 0.003144,0.514373 +/- 0.006135,nan +/- nan,nan +/- nan,nan +/- nan
BBBP,classification,classic-ensemble,ExtraTrees_ECFPDesc,AUROC,0.9419756145915941,0.0027351695336326216,5,ours_rerun_same_split,scaffold_balanced,1335,335,305,0.941976 +/- 0.002735,0.967466 +/- 0.001467,0.865574 +/- 0.004147,0.298210 +/- 0.003251,nan +/- nan,nan +/- nan,nan +/- nan
BBBP,classification,classic-ensemble,RF_ECFPDesc,AUROC,0.9386796193497224,0.0026943132223524067,5,ours_rerun_same_split,scaffold_balanced,1335,335,305,0.938680 +/- 0.002694,0.964924 +/- 0.001606,0.862295 +/- 0.002933,0.299930 +/- 0.003100,nan +/- nan,nan +/- nan,nan +/- nan
BBBP,classification,classic-kernel,SVM_RBF_Desc,AUROC,0.9126189532117369,1.1102230246251565e-16,5,ours_rerun_same_split,scaffold_balanced,1335,335,305,0.912619 +/- 0.000000,0.959198 +/- 0.000000,0.829508 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan
BBBP,classification,classic-linear,LR_ECFPDesc,AUROC,0.9316019032513878,0.0,5,ours_rerun_same_split,scaffold_balanced,1335,335,305,0.931602 +/- 0.000000,0.966245 +/- 0.000000,0.875410 +/- 0.000000,0.349282 +/- 0.000000,nan +/- nan,nan +/- nan,nan +/- nan
BBBP,classification,descriptor-boosting,XGB_ECFPDesc,AUROC,0.9125892149088026,0.0016329310294983792,5,ours_rerun_same_split,scaffold_balanced,1335,335,305,0.912589 +/- 0.001633,0.951926 +/- 0.001251,0.852459 +/- 0.005486,0.348323 +/- 0.002870,nan +/- nan,nan +/- nan,nan +/- nan
ESOL,regression,classic-ensemble,ExtraTrees_ECFPDesc,MAE,1.0569433853917645,0.011542057386938517,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,1.056943 +/- 0.011542,1.423911 +/- 0.009064,0.567936 +/- 0.005505
ESOL,regression,classic-ensemble,RF_ECFPDesc,MAE,1.0026824587364824,0.011137620057218741,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,1.002682 +/- 0.011138,1.348420 +/- 0.015587,0.612499 +/- 0.008962
ESOL,regression,classic-kernel,KRR_RBF_Desc,MAE,0.9225162852780228,0.0,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.922516 +/- 0.000000,1.530690 +/- 0.000000,0.500726 +/- 0.000000
ESOL,regression,classic-kernel,SVR_RBF_Desc,MAE,0.7169190296303157,0.0,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.716919 +/- 0.000000,1.100837 +/- 0.000000,0.741768 +/- 0.000000
ESOL,regression,classic-linear,Ridge_ECFPDesc,MAE,0.7767290843815442,0.0,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.776729 +/- 0.000000,1.029731 +/- 0.000000,0.774050 +/- 0.000000
ESOL,regression,descriptor-boosting,XGB_ECFPDesc,MAE,0.570500161259108,0.005075383101475027,5,ours_rerun_same_split,scaffold_balanced,374,492,251,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.570500 +/- 0.005075,0.774987 +/- 0.005612,0.872010 +/- 0.001860
FreeSolv,regression,classic-ensemble,ExtraTrees_ECFPDesc,MAE,4.535813641025644,0.05499501597103391,5,ours_rerun_same_split,scaffold_balanced,162,168,312,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,4.535814 +/- 0.054995,5.151181 +/- 0.056676,-0.568905 +/- 0.034264
FreeSolv,regression,classic-ensemble,RF_ECFPDesc,MAE,4.3311945787545785,0.08136692541605885,5,ours_rerun_same_split,scaffold_balanced,162,168,312,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,4.331195 +/- 0.081367,4.907837 +/- 0.084280,-0.424422 +/- 0.049118
