task,task_type,method,method_group,primary_metric,primary_mean,primary_std,n_seeds,source,call_rate,selection_family,selection_note,baseline_aware_mean,baseline_aware_std
BACE,classification,VOILA_20pct_final,budgeted adaptive 2D/3D,AUROC,0.8583621683967705,0.0021265248363753,5,ours_rerun_same_split,0.0,baseline_aware_start,keep_voila_budgeted_route,0.8583621683967705,0.0021265248363753
BBBP,classification,ExtraTrees_ECFPDesc,classic-ensemble,AUROC,0.941975614591594,0.0027351695336326,5,ours_rerun_same_split,0.0,baseline_aware_start,abstain_to_stronger_2d_specialist,0.941975614591594,0.0027351695336326
ESOL,regression,VOILA_20pct_final,budgeted adaptive 2D/3D,MAE,0.5415267699921749,0.0115823624122347,5,ours_rerun_same_split,19.9203187250996,baseline_aware_start,keep_voila_budgeted_route,0.5415267699921749,0.0115823624122347
FreeSolv,regression,VOILA_20pct_final,budgeted adaptive 2D/3D,MAE,1.2068165466416167,0.0,5,ours_rerun_same_split,0.0,baseline_aware_start,keep_voila_budgeted_route,1.2068165466416167,0.0
HIV,classification,LR_ECFPDesc,classic-linear,AUROC,0.7392128670303492,0.0,5,ours_rerun_same_split,0.0,baseline_aware_start,abstain_to_stronger_2d_specialist,0.7392128670303492,0.0
Lipophilicity,regression,VOILA_20pct_final,budgeted adaptive 2D/3D,MAE,0.561840094316189,0.0047801849173309,5,ours_rerun_same_split,20.0,baseline_aware_start,keep_voila_budgeted_route,0.561840094316189,0.0047801849173309
BACE,classification,all_2d,modern rerun baseline,AUROC,0.8583621683967705,0.0019020216359908,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
BACE,classification,all_3d_aug,modern rerun baseline,AUROC,0.8467128027681661,0.0022010240428648,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
BACE,classification,all_rich3d_aug,modern rerun baseline,AUROC,0.8088091118800461,0.0021235414055886,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
BBBP,classification,all_2d,modern rerun baseline,AUROC,0.9212827121332277,0.002271819498983,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
BBBP,classification,all_3d_aug,modern rerun baseline,AUROC,0.9357652656621728,0.0012706142104809,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
BBBP,classification,all_rich3d_aug,modern rerun baseline,AUROC,0.928053132434576,0.0021183192488312,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
ESOL,regression,all_2d,modern rerun baseline,MAE,0.5675262522427685,0.0017094686048343,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
ESOL,regression,all_3d_aug,modern rerun baseline,MAE,0.6102533849830172,0.0024057475651824,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
ESOL,regression,all_rich3d_aug,modern rerun baseline,MAE,0.6694419256689065,0.0094452393438156,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
ESOL,regression,all_scalar3d_aug,modern rerun baseline,MAE,0.5903144418397273,0.0060362526270105,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
FreeSolv,regression,all_2d,modern rerun baseline,MAE,1.2068165466416167,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
FreeSolv,regression,all_3d_aug,modern rerun baseline,MAE,1.2068165466416167,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
FreeSolv,regression,all_rich3d_aug,modern rerun baseline,MAE,2.726286957804973,0.0392026560674743,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
HIV,classification,all_2d,modern rerun baseline,AUROC,0.7246578142400022,0.0042399972386017,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/final_candidate_cv_refit_specialists_5seed/method_summary.csv,,
