task,task_type,seed,method,split,n_train,n_val,n_test,xgb_device_2d,xgb_device_3d,Accuracy,LogLoss,AUROC,AUPRC
BACE,classification,0,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7857142857142857,0.5366838929671041,0.8574826989619377,0.8476165723568079
BACE,classification,0,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.773109243697479,0.5658075356919252,0.8461649365628605,0.8456092570413503
BACE,classification,1,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.8025210084033614,0.5159305147281152,0.8601499423298731,0.8470074991817809
BACE,classification,1,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7689075630252101,0.5550575389547499,0.8482554786620531,0.8524944130351464
BACE,classification,2,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.8109243697478992,0.533821962757366,0.8567618223760093,0.8471515280044497
BACE,classification,2,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7773109243697479,0.5517959252165674,0.8499134948096885,0.8521839868657416
BACE,classification,3,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7941176470588235,0.5381085178464776,0.8563292964244521,0.8480179152688826
BACE,classification,3,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7647058823529411,0.5598858559669507,0.8457324106113033,0.8430973601919858
BACE,classification,4,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7983193277310925,0.5220524293817473,0.8610870818915801,0.8346246872674425
BACE,classification,4,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7647058823529411,0.5745073010428361,0.843497693194925,0.8408449168406387
BBBP,classification,0,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8622950819672132,0.3818336505664207,0.9238699444885012,0.961642851189814
BBBP,classification,0,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8590163934426229,0.3830597058920424,0.9267942109436956,0.9639542093663748
BBBP,classification,1,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3633880921557244,0.9297184773988898,0.964592693261462
BBBP,classification,1,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8622950819672132,0.3706039579247689,0.930759318001586,0.9653704364077604
BBBP,classification,2,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3870103771456205,0.919458762886598,0.9584273961201772
BBBP,classification,2,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3819597361483459,0.92753766851705,0.9638303679237517
BBBP,classification,3,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8786885245901639,0.3648593592255029,0.9278846153846154,0.9631822902128128
BBBP,classification,3,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8655737704918033,0.3639386353990738,0.932940126883426,0.9667641295437654
BBBP,classification,4,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8786885245901639,0.3867470513105417,0.9223830293417924,0.9605699005619414
BBBP,classification,4,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3730502020526119,0.9312053925455988,0.9661191918898668
HIV,classification,0,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9609910384818134,0.1761989004916843,0.7356888118295484,0.2261049877040962
HIV,classification,0,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9609910384818134,0.1918262714774616,0.7318405435502742,0.1962348807205924
HIV,classification,1,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1777008698119896,0.7361680833368573,0.2191171230717765
HIV,classification,1,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9609910384818134,0.1911399125493343,0.723446244061967,0.2026167789729639
HIV,classification,2,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1809715269797068,0.7292538870328864,0.2133917104022671
HIV,classification,2,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9604638903531892,0.1881169537076283,0.7411158568387815,0.2064709392390091
HIV,classification,3,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9588824459673168,0.1780161312628303,0.7335391381570602,0.2094389317552367
HIV,classification,3,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9604638903531892,0.1909334519942778,0.7274213783284701,0.2014571102063984
HIV,classification,4,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9604638903531892,0.1800955152215264,0.7221141511960643,0.223456749256026
HIV,classification,4,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1917658879190527,0.7233405224059429,0.2025744691231875
