task,task_type,seed,method,split,n_train,n_val,n_test,xgb_device_2d,xgb_device_3d,MAE,RMSE,R2
ESOL,regression,0,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.5837917040904681,0.8196779701001973,0.8568303433752826
ESOL,regression,0,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.6067622841268896,0.8452661033119004,0.847752081422202
ESOL,regression,1,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6153813186128777,0.8538570706535719,0.8446415729500958
ESOL,regression,1,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5967553980929918,0.8272131582381264,0.8541859659098798
ESOL,regression,2,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.5959889281489459,0.8356337329210884,0.8512022432527937
ESOL,regression,2,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5957087360473269,0.8302277301035694,0.853121263719731
ESOL,regression,3,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6129381185888769,0.8612401698445037,0.8419432625414671
ESOL,regression,3,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.6016654774791216,0.8468708249491332,0.8471734531241966
ESOL,regression,4,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6015084977434925,0.8396737699884006,0.8497599806566799
ESOL,regression,4,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5928222488084162,0.8247437007936342,0.8550552559531379
FreeSolv,regression,0,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.46940741560398,2.9951089017474186,0.4696584366701988
FreeSolv,regression,0,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.992119680948747,3.513147485937076,0.2703355400913688
FreeSolv,regression,1,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.4598059308223235,2.9704092262346125,0.4783694734274796
FreeSolv,regression,1,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.966690294559185,3.497194241869785,0.2769473236298425
FreeSolv,regression,2,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.437982495075617,2.93582963578909,0.4904437544834544
FreeSolv,regression,2,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.8632149331997603,3.3505724813743973,0.3363051262995673
FreeSolv,regression,3,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.400918922210351,2.952748605183601,0.4845537614196217
FreeSolv,regression,3,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,3.0836542740234965,3.760780522003053,0.1638457405811432
FreeSolv,regression,4,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.555240083260414,3.0533422835901374,0.4488352774105143
FreeSolv,regression,4,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,3.1247414418978567,3.632601469694284,0.2198718713147587
Lipophilicity,regression,0,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5645772852818828,0.7334137034975718,0.5713772029534452
Lipophilicity,regression,0,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5733146946607542,0.7348352440344407,0.5697140347548947
Lipophilicity,regression,1,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5686338507932079,0.7361545263382423,0.56816762487732
Lipophilicity,regression,1,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5778248200712125,0.7396724093077643,0.5640305436730692
Lipophilicity,regression,2,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5663994207342794,0.733343522840318,0.5714592292102064
Lipophilicity,regression,2,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5678363570359128,0.7280010173498737,0.5776804386729998
Lipophilicity,regression,3,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5651433703958495,0.7341752561964575,0.5704866051431177
Lipophilicity,regression,3,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5695049343759363,0.7321614595180173,0.5728396302149588
Lipophilicity,regression,4,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.565438634143388,0.7314915538566614,0.5736209503287808
Lipophilicity,regression,4,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5774797944155606,0.7402962154191504,0.5632948799188466
