task,task_type,seed,method,split,n_train,n_val,n_test,xgb_device_2d,xgb_device_3d,Accuracy,LogLoss,AUROC,AUPRC
BACE,classification,0,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7857142857142857,0.5366838929671041,0.8574826989619377,0.8476165723568079
BACE,classification,0,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.773109243697479,0.5225952506936361,0.8587802768166091,0.8548728241516039
BACE,classification,1,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.8025210084033614,0.5159305147281152,0.8601499423298731,0.8470074991817809
BACE,classification,1,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.773109243697479,0.5287898472692689,0.8607987312572087,0.8624617740038488
BACE,classification,2,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.8109243697478992,0.533821962757366,0.8567618223760093,0.8471515280044497
BACE,classification,2,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7689075630252101,0.50705915222834,0.8681516724336793,0.8691283465095001
BACE,classification,3,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7941176470588235,0.5381085178464776,0.8563292964244521,0.8480179152688826
BACE,classification,3,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7773109243697479,0.5192379377473008,0.8651239907727797,0.8676005688093773
BACE,classification,4,all_2d,scaffold_balanced,1039,236,238,cuda,cuda,0.7983193277310925,0.5220524293817473,0.8610870818915801,0.8346246872674425
BACE,classification,4,all_3d_aug,scaffold_balanced,1039,236,238,cuda,cuda,0.7647058823529411,0.5318330082201002,0.8598615916955017,0.8561628171912405
BBBP,classification,0,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8622950819672132,0.3818336505664207,0.9238699444885012,0.961642851189814
BBBP,classification,0,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8622950819672132,0.3710226124940665,0.9302636796193496,0.9651409179131832
BBBP,classification,1,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3633880921557244,0.9297184773988898,0.964592693261462
BBBP,classification,1,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8688524590163934,0.3824370686977371,0.9258524980174464,0.9631302281657814
BBBP,classification,2,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8721311475409836,0.3870103771456205,0.919458762886598,0.9584273961201772
BBBP,classification,2,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8819672131147541,0.3904269330019368,0.924167327517843,0.9616160296834652
BBBP,classification,3,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8786885245901639,0.3648593592255029,0.9278846153846154,0.9631822902128128
BBBP,classification,3,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8754098360655738,0.3703264537859728,0.9343279143536876,0.9680549299581352
BBBP,classification,4,all_2d,scaffold_balanced,1335,335,305,cuda,cuda,0.8786885245901639,0.3867470513105417,0.9223830293417924,0.9605699005619414
BBBP,classification,4,all_3d_aug,scaffold_balanced,1335,335,305,cuda,cuda,0.8786885245901639,0.3801542336068174,0.9261498810467884,0.9626534624236232
HIV,classification,0,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9609910384818134,0.1761989004916843,0.7356888118295484,0.2261049877040962
HIV,classification,0,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1863398470091828,0.7307269421068211,0.2367954315193963
HIV,classification,1,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1777008698119896,0.7361680833368573,0.2191171230717765
HIV,classification,1,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1885126097845341,0.7358720626999901,0.2170873446431134
HIV,classification,2,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1809715269797068,0.7292538870328864,0.2133917104022671
HIV,classification,2,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9604638903531892,0.1890242563531602,0.729190454039272,0.2184057633936672
HIV,classification,3,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9588824459673168,0.1780161312628303,0.7335391381570602,0.2094389317552367
HIV,classification,3,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.959409594095941,0.1879741246073884,0.7366050661817567,0.2073457020178916
HIV,classification,4,all_2d,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9604638903531892,0.1800955152215264,0.7221141511960643,0.223456749256026
HIV,classification,4,all_3d_aug,scaffold_balanced,8259,1844,1897,cuda,cuda,0.9599367422245652,0.1843507661810614,0.7378243892812337,0.2346784262483858
