task,task_type,seed,method,split,n_train,n_val,n_test,xgb_device_2d,xgb_device_3d,MAE,RMSE,R2
ESOL,regression,0,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.5837917040904681,0.8196779701001973,0.8568303433752826
ESOL,regression,0,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5953836324243431,0.827895213662541,0.8539454130303415
ESOL,regression,1,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6153813186128777,0.8538570706535719,0.8446415729500958
ESOL,regression,1,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5924068919405995,0.8334608585240416,0.8519750662371015
ESOL,regression,2,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.5959889281489459,0.8356337329210884,0.8512022432527937
ESOL,regression,2,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5966680376805157,0.8311363637789086,0.8527995881300394
ESOL,regression,3,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6129381185888769,0.8612401698445037,0.8419432625414671
ESOL,regression,3,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.6067895083180462,0.8454354847062159,0.8476910579210067
ESOL,regression,4,all_2d,scaffold_balanced,374,492,251,cuda,cuda,0.6015084977434925,0.8396737699884006,0.8497599806566799
ESOL,regression,4,all_3d_aug,scaffold_balanced,374,492,251,cuda,cuda,0.5982849922788096,0.8377135978876618,0.8504606159799859
FreeSolv,regression,0,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.46940741560398,2.9951089017474186,0.4696584366701988
FreeSolv,regression,0,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.849687821559417,3.3426119212240004,0.3394550994157439
FreeSolv,regression,1,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.4598059308223235,2.9704092262346125,0.4783694734274796
FreeSolv,regression,1,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.7824549773717537,3.294804116298826,0.3582149023849666
FreeSolv,regression,2,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.437982495075617,2.93582963578909,0.4904437544834544
FreeSolv,regression,2,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.8380035857053905,3.314619513387177,0.3504721245665
FreeSolv,regression,3,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.400918922210351,2.952748605183601,0.4845537614196217
FreeSolv,regression,3,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.882408533188013,3.482937377836698,0.2828305837206665
FreeSolv,regression,4,all_2d,scaffold_balanced,162,168,312,cuda,cuda,2.555240083260414,3.0533422835901374,0.4488352774105143
FreeSolv,regression,4,all_3d_aug,scaffold_balanced,162,168,312,cuda,cuda,2.881801103139535,3.3786258615799407,0.3251447469789149
Lipophilicity,regression,0,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5645772852818828,0.7334137034975718,0.5713772029534452
Lipophilicity,regression,0,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5805325912384948,0.7419035896748493,0.5613964219542684
Lipophilicity,regression,1,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5686338507932079,0.7361545263382423,0.56816762487732
Lipophilicity,regression,1,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.577600346659826,0.7477899701868538,0.5544089110541104
Lipophilicity,regression,2,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5663994207342794,0.733343522840318,0.5714592292102064
Lipophilicity,regression,2,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5805814389335222,0.7450998246741546,0.5576091377726173
Lipophilicity,regression,3,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5651433703958495,0.7341752561964575,0.5704866051431177
Lipophilicity,regression,3,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5777133316501113,0.7392889345038475,0.5644824733720236
Lipophilicity,regression,4,all_2d,scaffold_balanced,1812,1178,1210,cuda,cuda,0.565438634143388,0.7314915538566614,0.5736209503287808
Lipophilicity,regression,4,all_3d_aug,scaffold_balanced,1812,1178,1210,cuda,cuda,0.5836659243658554,0.7514635711230493,0.5500201262571923
