task,task_type,method,primary_metric,primary_mean,primary_std,primary_mean_std,n_seeds,call_rate_mean,n_train,n_val,n_test,AUROC_mean_std,AUPRC_mean_std,Accuracy_mean_std,LogLoss_mean_std,MAE_mean_std,RMSE_mean_std,R2_mean_std
BACE,classification,2d_only,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,5,,1039,236,238,0.858362 +/- 0.001902,0.844884 +/- 0.005142,0.798319 +/- 0.008403,0.529319 +/- 0.008762,,,
BACE,classification,3d_only,AUROC,0.7783448673587082,0.0048801587898706,0.778345 +/- 0.004880,5,,1039,236,238,0.778345 +/- 0.004880,0.791205 +/- 0.004502,0.716807 +/- 0.003361,0.642558 +/- 0.005386,,,
BACE,classification,early_concat_fusion,AUROC,0.848659169550173,0.003202055571651,0.848659 +/- 0.003202,5,,1039,236,238,0.848659 +/- 0.003202,0.852049 +/- 0.005926,0.773109 +/- 0.009205,0.558389 +/- 0.009141,,,
BACE,classification,gated_val_utility_fusion,AUROC,0.8555795847750864,0.0038217610611686,0.855580 +/- 0.003822,5,13.193277310924367,1039,236,238,0.855580 +/- 0.003822,0.844021 +/- 0.004314,0.799160 +/- 0.010428,0.542268 +/- 0.015880,,,
BACE,classification,late_mean_fusion,AUROC,0.8396049596309112,0.0025486836115432,0.839605 +/- 0.002549,5,,1039,236,238,0.839605 +/- 0.002549,0.835880 +/- 0.002610,0.757143 +/- 0.010762,0.498572 +/- 0.007429,,,
BACE,classification,late_val_weighted_2d_3d,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,5,,1039,236,238,0.858362 +/- 0.001902,0.844884 +/- 0.005142,0.798319 +/- 0.008403,0.529319 +/- 0.008762,,,
BACE,classification,late_val_weighted_2d_early,AUROC,0.8585063437139562,0.0018566735907733,0.858506 +/- 0.001857,5,,1039,236,238,0.858506 +/- 0.001857,0.845219 +/- 0.005359,0.798319 +/- 0.008403,0.528815 +/- 0.008388,,,
BACE,classification,modality_dropout_early_fusion,AUROC,0.8573385236447522,0.0009487130263184,0.857339 +/- 0.000949,5,,1039,236,238,0.857339 +/- 0.000949,0.842064 +/- 0.002991,0.793277 +/- 0.006723,0.529151 +/- 0.005927,,,
BACE,classification,moe_stacking_val_calibrated,AUROC,0.7185986159169551,0.007990564963095,0.718599 +/- 0.007991,5,,1039,236,238,0.718599 +/- 0.007991,0.736937 +/- 0.006355,0.662185 +/- 0.005699,1.112151 +/- 0.033974,,,
BBBP,classification,2d_only,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,5,,1335,335,305,0.924663 +/- 0.003711,0.961683 +/- 0.002124,0.872787 +/- 0.006010,0.376768 +/- 0.010497,,,
BBBP,classification,3d_only,AUROC,0.9189779936558288,0.0005842649495754,0.918978 +/- 0.000584,5,,1335,335,305,0.918978 +/- 0.000584,0.958743 +/- 0.000699,0.844590 +/- 0.008449,0.376686 +/- 0.001714,,,
BBBP,classification,early_concat_fusion,AUROC,0.9340503568596352,0.0027607725259133,0.934050 +/- 0.002761,5,,1335,335,305,0.934050 +/- 0.002761,0.967663 +/- 0.001443,0.860984 +/- 0.004447,0.359997 +/- 0.009592,,,
BBBP,classification,gated_val_utility_fusion,AUROC,0.930689928628073,0.0032646884196395,0.930690 +/- 0.003265,5,61.44262295081967,1335,335,305,0.930690 +/- 0.003265,0.965368 +/- 0.001740,0.860984 +/- 0.005717,0.365681 +/- 0.012942,,,
BBBP,classification,late_mean_fusion,AUROC,0.9352993655828707,0.0026932097636313,0.935299 +/- 0.002693,5,,1335,335,305,0.935299 +/- 0.002693,0.968743 +/- 0.001677,0.862951 +/- 0.005641,0.330310 +/- 0.004607,,,
BBBP,classification,late_val_weighted_2d_3d,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,5,,1335,335,305,0.924663 +/- 0.003711,0.961683 +/- 0.002124,0.872787 +/- 0.006010,0.376768 +/- 0.010497,,,
BBBP,classification,late_val_weighted_2d_early,AUROC,0.9318992862807296,0.0027069298300016,0.931899 +/- 0.002707,5,,1335,335,305,0.931899 +/- 0.002707,0.966286 +/- 0.001710,0.864262 +/- 0.007361,0.361922 +/- 0.009132,,,
BBBP,classification,modality_dropout_early_fusion,AUROC,0.9296887390959554,0.0039107847092799,0.929689 +/- 0.003911,5,,1335,335,305,0.929689 +/- 0.003911,0.963736 +/- 0.002149,0.874098 +/- 0.004447,0.380458 +/- 0.012734,,,
BBBP,classification,moe_stacking_val_calibrated,AUROC,0.8078013481363996,0.0469632722553449,0.807801 +/- 0.046963,5,,1335,335,305,0.807801 +/- 0.046963,0.864731 +/- 0.026474,0.780984 +/- 0.028538,0.564184 +/- 0.054495,,,
ESOL,regression,2d_only,MAE,0.6019217134369322,0.0115463247949263,0.601922 +/- 0.011546,5,,374,492,251,,,,,0.601922 +/- 0.011546,0.842017 +/- 0.014526,0.848875 +/- 0.005205
