task,task_type,noise_level,method,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,delta_vs_2d_positive,n_seeds
BACE,classification,0.0,all_2d,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,0.0,5
BACE,classification,0.0,all_3d_noisy_aug,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,-0.011649365628604413,5
BACE,classification,0.0,voi_positive_threshold_20,AUROC,0.8566681084198384,0.0038117674473413,0.856668 +/- 0.003812,12.268907563025213,-0.0016940599769320608,5
BACE,classification,0.0,voi_reliability_penalized_positive_20,AUROC,0.8566681084198384,0.0038117674473413,0.856668 +/- 0.003812,12.268907563025213,-0.0016940599769320608,5
BACE,classification,0.0,voi_router_fixed_budget_20,AUROC,0.8574466551326413,0.0030175380692869,0.857447 +/- 0.003018,20.16806722689076,-0.0009155132641291974,5
BACE,classification,0.1,all_2d,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,0.0,5
BACE,classification,0.1,all_3d_noisy_aug,AUROC,0.8448817762399077,0.002654314185565,0.844882 +/- 0.002654,100.0,-0.013480392156862808,5
BACE,classification,0.1,voi_positive_threshold_20,AUROC,0.8542459630911188,0.0013409854680886,0.854246 +/- 0.001341,18.15126050420168,-0.00411620530565171,5
BACE,classification,0.1,voi_reliability_penalized_positive_20,AUROC,0.8547001153402537,0.001851179632297,0.854700 +/- 0.001851,16.72268907563025,-0.0036620530565167897,5
BACE,classification,0.1,voi_router_fixed_budget_20,AUROC,0.8544622260668973,0.0015152818977256,0.854462 +/- 0.001515,20.16806722689076,-0.0038999423298732294,5
BACE,classification,0.25,all_2d,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,0.0,5
BACE,classification,0.25,all_3d_noisy_aug,AUROC,0.854325259515571,0.0045146446555416,0.854325 +/- 0.004515,100.0,-0.0040369088811994525,5
BACE,classification,0.25,voi_positive_threshold_20,AUROC,0.8558679354094579,0.0062830670284568,0.855868 +/- 0.006283,16.386554621848738,-0.00249423298731255,5
BACE,classification,0.25,voi_reliability_penalized_positive_20,AUROC,0.8565311418685122,0.0053965497220728,0.856531 +/- 0.005397,11.008403361344538,-0.0018310265282582838,5
BACE,classification,0.25,voi_router_fixed_budget_20,AUROC,0.855795847750865,0.0063838251652231,0.855796 +/- 0.006384,20.16806722689076,-0.002566320645905451,5
BACE,classification,0.5,all_2d,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,0.0,5
BACE,classification,0.5,all_3d_noisy_aug,AUROC,0.8535755478662054,0.004665224548133,0.853576 +/- 0.004665,100.0,-0.004786620530565111,5
BACE,classification,0.5,voi_positive_threshold_20,AUROC,0.8567618223760093,0.0033901132814592,0.856762 +/- 0.003390,16.72268907563025,-0.0016003460207612008,5
BACE,classification,0.5,voi_reliability_penalized_positive_20,AUROC,0.8564446366782008,0.0030003018605447,0.856445 +/- 0.003000,9.579831932773107,-0.001917531718569676,5
BACE,classification,0.5,voi_router_fixed_budget_20,AUROC,0.8563581314878892,0.0037342798778804,0.856358 +/- 0.003734,20.16806722689076,-0.0020040369088812904,5
