task,feature,budget,spearman_mean,spearman_std,selected_minus_not_selected_mean,selected_mean,not_selected_mean,n_seeds
BACE,bertz_ct,20.0,-0.06508494582322324,0.14337334176374586,-73.05190689354613,1220.5496546427407,1293.6015615362871,5
BACE,flexibility_score,20.0,-0.2392184246993026,0.11562373339063936,-3.2649846460087724,8.073541670833333,11.338526316842103,5
BACE,fraction_csp3,20.0,-0.2696224426601955,0.12469808813579102,-0.06482154353374714,0.2833718535490334,0.3481933970827806,5
BACE,hba,20.0,0.12234302849249948,0.059391027499752815,0.3148684210526316,5.0875,4.772631578947368,5
BACE,hbd,20.0,-0.22259243720634175,0.08231327042902153,-0.661535087719298,1.8458333333333337,2.5073684210526315,5
BACE,heavy_atoms,20.0,-0.16459367112705156,0.10353434998968956,-3.219868421052632,33.8875,37.10736842105264,5
BACE,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
BACE,logp,20.0,0.125864856464499,0.07207557690617325,0.06558228958594156,3.567461647093296,3.5018793575073546,5
BACE,mol_wt,20.0,-0.16657861511935929,0.09440339078482109,-47.829132934034895,473.71141535441086,521.5405482884456,5
BACE,nearest_train_tanimoto,20.0,0.1886049092800773,0.03982961197481502,0.0007527078581500233,0.013260509564646705,0.012507801706496683,5
BACE,ood_distance,20.0,-0.1886049092800773,0.03982961197481502,-0.0007527078581500257,0.9867394904353534,0.9874921982935032,5
BACE,oracle_benefit,20.0,-0.001713009971924704,0.03100961030695668,-5.506485359881514e-05,-9.611687812379395e-05,-4.105202452497882e-05,5
BACE,rings,20.0,0.2080860261712149,0.10619876775317795,0.12570175438596493,4.058333333333333,3.932631578947368,5
BACE,rotatable_bonds,20.0,-0.25053927540144505,0.11717016453306256,-3.103991228070176,6.379166666666666,9.483157894736843,5
BACE,tpsa,20.0,-0.10461705659497686,0.087196281635011,-6.992418471553867,90.62475029627481,97.61716876782869,5
BACE,uncertainty_score,20.0,0.26182148504764696,0.10859307446864447,0.11309327872435304,0.20477802296324327,0.09168474423889018,5
BBBP,bertz_ct,20.0,-0.11898203082507408,0.07660935480754069,-52.79385448674691,697.7238788041911,750.5177332909382,5
BBBP,flexibility_score,20.0,-0.09082739142868038,0.1049615452553552,-0.9174180312295087,4.627377059147539,5.544795090377049,5
BBBP,fraction_csp3,20.0,-0.008181112672517518,0.0799841825528829,-0.009927688380245292,0.46338717927698225,0.4733148676572275,5
BBBP,hba,20.0,-0.07439347227938232,0.04680536627149663,-0.7172131147540982,4.5442622950819676,5.261475409836065,5
BBBP,hbd,20.0,-0.029519403639872488,0.05786279248413521,-0.12295081967213117,1.9409836065573771,2.0639344262295083,5
BBBP,heavy_atoms,20.0,-0.12257509621315524,0.09561515286517999,-2.1188524590163937,22.97377049180328,25.092622950819674,5
BBBP,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
BBBP,logp,20.0,-0.08164571698298136,0.04824992477497812,-0.17651507889300388,1.4954934400857471,1.672008518978751,5
