task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
BACE,classification,desc_uncertainty_support,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,desc_uncertainty_support,5.0,AUROC,0.857871972318339,0.0015863216457207,0.857872 +/- 0.001586,5.042016806722689,5
BACE,classification,desc_uncertainty_support,10.0,AUROC,0.8567978662053057,0.0013651050160972,0.856798 +/- 0.001365,10.084033613445378,5
BACE,classification,desc_uncertainty_support,20.0,AUROC,0.8533016147635525,0.0036232923821036,0.853302 +/- 0.003623,20.16806722689076,5
BACE,classification,desc_uncertainty_support,40.0,AUROC,0.8520184544405998,0.0027863162300337,0.852018 +/- 0.002786,39.91596638655462,5
BACE,classification,desc_uncertainty_support,60.0,AUROC,0.8510092272202998,0.0030910058252005,0.851009 +/- 0.003091,60.08403361344538,5
BACE,classification,desc_uncertainty_support,80.0,AUROC,0.8506632064590542,0.0047727474365109,0.850663 +/- 0.004773,79.83193277310924,5
BACE,classification,desc_uncertainty_support,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,ecfp_only,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,ecfp_only,5.0,AUROC,0.8580882352941176,0.0028214192346937,0.858088 +/- 0.002821,5.042016806722689,5
BACE,classification,ecfp_only,10.0,AUROC,0.8569492502883506,0.0024295145217565,0.856949 +/- 0.002430,10.084033613445378,5
BACE,classification,ecfp_only,20.0,AUROC,0.8553416955017301,0.0020259838557185,0.855342 +/- 0.002026,20.16806722689076,5
BACE,classification,ecfp_only,40.0,AUROC,0.8513047866205306,0.0033807190512588,0.851305 +/- 0.003381,39.91596638655462,5
BACE,classification,ecfp_only,60.0,AUROC,0.8516075547866204,0.0024232607142404,0.851608 +/- 0.002423,60.08403361344538,5
BACE,classification,ecfp_only,80.0,AUROC,0.8500648788927336,0.0021648393172285,0.850065 +/- 0.002165,79.83193277310924,5
BACE,classification,ecfp_only,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,ecfp_uncertainty,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,ecfp_uncertainty,5.0,AUROC,0.8577566320645905,0.0014606603393211,0.857757 +/- 0.001461,5.042016806722689,5
BACE,classification,ecfp_uncertainty,10.0,AUROC,0.8573817762399077,0.0016803384264775,0.857382 +/- 0.001680,10.084033613445378,5
BACE,classification,ecfp_uncertainty,20.0,AUROC,0.854628027681661,0.001912484359722,0.854628 +/- 0.001912,20.16806722689076,5
BACE,classification,ecfp_uncertainty,40.0,AUROC,0.8516580161476355,0.0019909248846961,0.851658 +/- 0.001991,39.91596638655462,5
BACE,classification,ecfp_uncertainty,60.0,AUROC,0.8499855824682815,0.0036940265410716,0.849986 +/- 0.003694,60.08403361344538,5
BACE,classification,ecfp_uncertainty,80.0,AUROC,0.8487817185697809,0.0027965552148106,0.848782 +/- 0.002797,79.83193277310924,5
BACE,classification,ecfp_uncertainty,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,full_ecfp_desc_uncertainty_support,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,full_ecfp_desc_uncertainty_support,5.0,AUROC,0.858073817762399,0.0028389727144636,0.858074 +/- 0.002839,5.042016806722689,5
BACE,classification,full_ecfp_desc_uncertainty_support,10.0,AUROC,0.85695645905421,0.002471839457133,0.856956 +/- 0.002472,10.084033613445378,5
BACE,classification,full_ecfp_desc_uncertainty_support,20.0,AUROC,0.8530060553633219,0.0022666267444544,0.853006 +/- 0.002267,20.16806722689076,5
BACE,classification,full_ecfp_desc_uncertainty_support,40.0,AUROC,0.8504757785467127,0.0019009284571914,0.850476 +/- 0.001901,39.91596638655462,5
BACE,classification,full_ecfp_desc_uncertainty_support,60.0,AUROC,0.8501802191464822,0.0033129436244866,0.850180 +/- 0.003313,60.08403361344538,5
BACE,classification,full_ecfp_desc_uncertainty_support,80.0,AUROC,0.84919261822376,0.0025550982219933,0.849193 +/- 0.002555,79.83193277310924,5
BACE,classification,full_ecfp_desc_uncertainty_support,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,oracle,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,oracle,5.0,AUROC,0.8713379469434832,0.0019511134397456,0.871338 +/- 0.001951,5.042016806722689,5
BACE,classification,oracle,10.0,AUROC,0.8771626297577855,0.001918669607139,0.877163 +/- 0.001919,10.084033613445378,5
BACE,classification,oracle,20.0,AUROC,0.8839893310265282,0.0016727754393679,0.883989 +/- 0.001673,20.16806722689076,5
BACE,classification,oracle,40.0,AUROC,0.8867214532871973,0.0017390017727486,0.886721 +/- 0.001739,39.91596638655462,5
BACE,classification,oracle,60.0,AUROC,0.8867358708189158,0.0017277894458882,0.886736 +/- 0.001728,60.08403361344538,5
BACE,classification,oracle,80.0,AUROC,0.8803344867358709,0.0021306751097936,0.880334 +/- 0.002131,79.83193277310924,5
BACE,classification,oracle,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,random,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,random,5.0,AUROC,0.8585351787773934,0.0018494945456545,0.858535 +/- 0.001849,5.042016806722689,5
BACE,classification,random,10.0,AUROC,0.8576773356401384,0.0022915032787785,0.857677 +/- 0.002292,10.084033613445378,5
BACE,classification,random,20.0,AUROC,0.8559256055363322,0.0029844987148429,0.855926 +/- 0.002984,20.16806722689076,5
BACE,classification,random,40.0,AUROC,0.856603229527105,0.0028453721175127,0.856603 +/- 0.002845,39.91596638655462,5
BACE,classification,random,60.0,AUROC,0.8511173587081892,0.0036635569390209,0.851117 +/- 0.003664,60.08403361344538,5
BACE,classification,random,80.0,AUROC,0.8486159169550174,0.0044196260932159,0.848616 +/- 0.004420,79.83193277310924,5
BACE,classification,random,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,uncertainty,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,uncertainty,5.0,AUROC,0.8561130334486735,0.0029157653425831,0.856113 +/- 0.002916,5.042016806722689,5
BACE,classification,uncertainty,10.0,AUROC,0.8540513264129181,0.002474864965557,0.854051 +/- 0.002475,10.084033613445378,5
BACE,classification,uncertainty,20.0,AUROC,0.8502811418685121,0.0020982834038685,0.850281 +/- 0.002098,20.16806722689076,5
BACE,classification,uncertainty,40.0,AUROC,0.8484356978085351,0.0005198314987693,0.848436 +/- 0.000520,39.91596638655462,5
BACE,classification,uncertainty,60.0,AUROC,0.8452061707035755,0.0019096563656053,0.845206 +/- 0.001910,60.08403361344538,5
BACE,classification,uncertainty,80.0,AUROC,0.844434832756632,0.0021936453366065,0.844435 +/- 0.002194,79.83193277310924,5
BACE,classification,uncertainty,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,uncertainty_only,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,uncertainty_only,5.0,AUROC,0.8575259515570934,0.0019373214570058,0.857526 +/- 0.001937,5.042016806722689,5
BACE,classification,uncertainty_only,10.0,AUROC,0.858196366782007,0.0029485879209413,0.858196 +/- 0.002949,10.084033613445378,5
BACE,classification,uncertainty_only,20.0,AUROC,0.8560841983852365,0.0031090931632994,0.856084 +/- 0.003109,20.16806722689076,5
BACE,classification,uncertainty_only,40.0,AUROC,0.8511101499423297,0.0030414158205203,0.851110 +/- 0.003041,39.91596638655462,5
BACE,classification,uncertainty_only,60.0,AUROC,0.8498990772779701,0.0032686487248977,0.849899 +/- 0.003269,60.08403361344538,5
BACE,classification,uncertainty_only,80.0,AUROC,0.8495818915801614,0.0022756647775529,0.849582 +/- 0.002276,79.83193277310924,5
BACE,classification,uncertainty_only,100.0,AUROC,0.8467128027681661,0.0022010240428648,0.846713 +/- 0.002201,100.0,5
BACE,classification,uncertainty_support_ood,0.0,AUROC,0.8583621683967705,0.0019020216359908,0.858362 +/- 0.001902,0.0,5
BACE,classification,uncertainty_support_ood,5.0,AUROC,0.8575980392156863,0.0022721224934362,0.857598 +/- 0.002272,5.042016806722689,5
BACE,classification,uncertainty_support_ood,10.0,AUROC,0.8573385236447519,0.0019002995946219,0.857339 +/- 0.001900,10.084033613445378,5
BACE,classification,uncertainty_support_ood,20.0,AUROC,0.8572231833910035,0.0011091664931992,0.857223 +/- 0.001109,20.16806722689076,5
BACE,classification,uncertainty_support_ood,40.0,AUROC,0.8535467128027682,0.0026862109641991,0.853547 +/- 0.002686,39.91596638655462,5
