final_router,baseline,mean_delta_BIG,ci95_low,ci95_high,n_task_seed_pairs,n_positive_pairs,n_bootstrap
R8_oof_selected_gated,random,0.0395058871506855,0.010663227923331057,0.07589832345673714,30,17,1000
R8_oof_selected_gated,uncertainty,0.03677197740822145,0.009804914725346482,0.07181245019042024,30,22,1000
R8_oof_selected_gated,flexibility,0.05164440263498063,0.012787269781121552,0.09543568113980597,30,20,1000
R8_oof_selected_gated,old_voi,0.0364786895137207,0.009281157063767927,0.07078144824322583,30,18,1000
R8_oof_selected_gated,R7_oof_selected_top,0.03329007092886716,0.009478532294474004,0.06384456469586368,30,20,1000
R8_oof_selected_gated,R8_oof_selected_gated,0.0,0.0,0.0,30,0,1000
R9_oof_safe_guardrail,random,0.04668957814241015,0.01334011759896344,0.08766933482553564,30,18,1000
R9_oof_safe_guardrail,uncertainty,0.04395566839994609,0.012614069379109574,0.0811229962538724,30,23,1000
R9_oof_safe_guardrail,flexibility,0.05882809362670527,0.016888040736324186,0.10699300523308991,30,20,1000
R9_oof_safe_guardrail,old_voi,0.04366238050544534,0.012108756389498456,0.0828399642774766,30,19,1000
R9_oof_safe_guardrail,R7_oof_selected_top,0.04047376192059179,0.014597685192235756,0.07439159201782017,30,21,1000
R9_oof_safe_guardrail,R8_oof_selected_gated,0.007183690991724636,0.0002730165948318595,0.015573388653910326,30,11,1000
