task,task_type,router,BIG_mean,BIG_std,BIG_mean_std,n_seeds
BACE,classification,R7_oof_selected_top,-0.00579656862745097,0.0034401603445651037,-0.005797 +/- 0.003440,5
BACE,classification,R8_oof_selected_gated,-0.0020880190311418473,0.003398752802279192,-0.002088 +/- 0.003399,5
BACE,classification,R9_oof_safe_guardrail,-0.0004718137254901793,0.001621153275840156,-0.000472 +/- 0.001621,5
BACE,classification,flexibility,-0.005989763552479802,0.002212782787563771,-0.005990 +/- 0.002213,5
BACE,classification,old_voi,-0.007020617070357543,0.002188193046488026,-0.007021 +/- 0.002188,5
BACE,classification,oracle,0.019887543252595168,0.0023691832452969936,0.019888 +/- 0.002369,5
BACE,classification,random,-0.005323132929642424,0.003094363301394697,-0.005323 +/- 0.003094,5
BACE,classification,uncertainty,-0.010214821222606692,0.002029534219383699,-0.010215 +/- 0.002030,5
BBBP,classification,R7_oof_selected_top,0.0032992168913560395,0.002026586585537435,0.003299 +/- 0.002027,5
BBBP,classification,R8_oof_selected_gated,0.0010111022997620661,0.0017896816709222813,0.001011 +/- 0.001790,5
BBBP,classification,R9_oof_safe_guardrail,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,flexibility,0.0015022799365582728,0.0021741075520247655,0.001502 +/- 0.002174,5
BBBP,classification,old_voi,0.0027416237113401824,0.002156033314865702,0.002742 +/- 0.002156,5
BBBP,classification,oracle,0.016735725614591558,0.0011804178798329348,0.016736 +/- 0.001180,5
BBBP,classification,random,0.0025443596352101314,0.0020181453104558453,0.002544 +/- 0.002018,5
BBBP,classification,uncertainty,0.0033953707375098973,0.0020174151061945187,0.003395 +/- 0.002017,5
ESOL,regression,R7_oof_selected_top,0.0035245011516966,0.010761928559362532,0.003525 +/- 0.010762,5
ESOL,regression,R8_oof_selected_gated,0.00462978721742133,0.005469777858896528,0.004630 +/- 0.005470,5
ESOL,regression,R9_oof_safe_guardrail,0.002608175058402852,0.0058249612077526216,0.002608 +/- 0.005825,5
ESOL,regression,flexibility,0.0020459404127341203,0.0067455528247183025,0.002046 +/- 0.006746,5
ESOL,regression,old_voi,0.002536824509385059,0.011935910972582349,0.002537 +/- 0.011936,5
ESOL,regression,oracle,0.04902974345579564,0.009493479396468298,0.049030 +/- 0.009493,5
ESOL,regression,random,0.001996291004367052,0.0075254262085680795,0.001996 +/- 0.007525,5
ESOL,regression,uncertainty,0.0011877475478829231,0.008649333872271514,0.001188 +/- 0.008649,5
FreeSolv,regression,R7_oof_selected_top,-0.23255515314478142,0.03609375778162377,-0.232555 +/- 0.036094,5
FreeSolv,regression,R8_oof_selected_gated,-0.03707129705716404,0.04319162944524909,-0.037071 +/- 0.043192,5
FreeSolv,regression,R9_oof_safe_guardrail,0.0,0.0,0.000000 +/- 0.000000,5
FreeSolv,regression,flexibility,-0.3444465335751191,0.053721961100190334,-0.344447 +/- 0.053722,5
FreeSolv,regression,old_voi,-0.2515353136819142,0.033832787373382626,-0.251535 +/- 0.033833,5
FreeSolv,regression,oracle,-0.05725510163200204,0.01697905406257546,-0.057255 +/- 0.016979,5
FreeSolv,regression,random,-0.2745060323956685,0.05103770342187496,-0.274506 +/- 0.051038,5
FreeSolv,regression,uncertainty,-0.24145317776600522,0.06080891665625918,-0.241453 +/- 0.060809,5
HIV,classification,R7_oof_selected_top,-0.0074334658378088486,0.009771502089023361,-0.007433 +/- 0.009772,5
HIV,classification,R8_oof_selected_gated,-0.007419475338661654,0.01172982884565953,-0.007419 +/- 0.011730,5
HIV,classification,R9_oof_safe_guardrail,0.0,0.0,0.000000 +/- 0.000000,5
HIV,classification,flexibility,-0.0025777758982816435,0.004916169533100797,-0.002578 +/- 0.004916,5
HIV,classification,old_voi,-0.005070022976839862,0.00774539659956084,-0.005070 +/- 0.007745,5
HIV,classification,oracle,0.06731590335631019,0.0036650136231822046,0.067316 +/- 0.003665,5
HIV,classification,random,-0.0003484938188071269,0.006222554741152327,-0.000348 +/- 0.006223,5
HIV,classification,uncertainty,-0.011354435375875674,0.00829244234391586,-0.011354 +/- 0.008292,5
Lipophilicity,regression,R7_oof_selected_top,-0.0024499757408307766,0.002601663098760638,-0.002450 +/- 0.002602,5
Lipophilicity,regression,R8_oof_selected_gated,-0.0007331178248322951,0.0018677676336869588,-0.000733 +/- 0.001868,5
Lipophilicity,regression,R9_oof_safe_guardrail,-0.0007052351171812965,0.0018774381164501652,-0.000705 +/- 0.001877,5
Lipophilicity,regression,flexibility,-0.002071582867912053,0.0019759362481990583,-0.002072 +/- 0.001976,5
Lipophilicity,regression,old_voi,-0.0021956513085542467,0.002370257553312306,-0.002196 +/- 0.002370,5
Lipophilicity,regression,oracle,0.04367222982939607,0.0032142949025959883,0.043672 +/- 0.003214,5
Lipophilicity,regression,random,-0.0030693341341885847,0.002556056572119056,-0.003069 +/- 0.002556,5
Lipophilicity,regression,uncertainty,-0.0038635681048503844,0.002389156728889424,-0.003864 +/- 0.002389,5
