task,task_type,seed,objective,feature_group,gate_quantile,oof_BIG,oof_ndcg20,safe_decision,min_oof_big_to_call,safe_rule,oof_selected_n,oof_selected_mean_utility,oof_selected_utility_lcb,source_dir
BACE,classification,0,R3_three_class,chemistry,0.9,0.005992429929929977,0.3853526549812503,call,0.0,utility_lcb,129,0.20534905337036505,0.09228740375159597,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,1,R0_raw_utility,chemistry,0.9,0.004600100100099918,0.34721140503019504,call,0.0,utility_lcb,128,0.18464518293420376,0.06975528179641428,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,2,R0_raw_utility,chemistry_uncertainty,0.7,0.004945382882883112,0.3372241917798517,call,0.0,utility_lcb,255,0.09089112290626222,0.026577192207269063,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,3,R0_raw_utility,full_mechanism,,0.003386511511511542,0.3215811966616838,abstain,0.0,utility_lcb,255,0.05599297572390599,-0.006396164559538017,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,4,R5_rank_regression,full_mechanism,0.6,0.0072031406406407004,0.380315485360244,call,0.0,utility_lcb,255,0.10428907876149186,0.04166709720730831,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,0,R1_binary,full_mechanism,0.6,0.002357675793550795,0.12334685964535386,abstain,0.0,utility_lcb,334,0.0035718552440171004,-0.02527787963330322,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,1,R5_rank_regression,full_mechanism,0.7,0.0023065947839929963,0.1926362774183168,abstain,0.0,utility_lcb,334,0.0049193837600406375,-0.029735484165155267,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,2,R4_pairwise_margin_weighted,chemistry_uncertainty,0.5,0.0022504877313261704,0.1332438961801892,abstain,0.0,utility_lcb,334,0.016018107285802986,-0.015526947990483276,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,3,R2_margin_binary,chemistry,0.5,0.0031413538724123754,0.23683070905800152,abstain,0.0,utility_lcb,334,0.03398666937202316,-0.007699926206348998,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,4,R1_binary,full_mechanism,0.95,0.001612128970317661,0.17366732738062232,call,0.0,utility_lcb,84,0.0716666550295617,0.007622592788664163,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,0,R1_binary,full_mechanism,0.8,0.006517996623393798,0.0900456176726232,abstain,0.0,utility_lcb,2021,-0.0025817591256498632,-0.00669593175931129,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,1,R5_rank_regression,chemistry_uncertainty,0.5,0.010436493718308432,0.2594758250220296,abstain,0.0,utility_lcb,2021,-0.01113117707413463,-0.01964106410705918,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,2,R1_binary,chemistry_uncertainty,0.5,0.006260967520946162,0.08570968521218132,abstain,0.0,utility_lcb,2021,-0.010022898810278968,-0.01653054133469903,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,3,R1_binary,chemistry_uncertainty,0.5,0.012117709697854024,0.13163682050676853,abstain,0.0,utility_lcb,2021,-0.006059123001918391,-0.013262522884502337,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,4,R1_binary,chemistry,0.7,0.007403331030667357,0.09941243922578334,abstain,0.0,utility_lcb,2021,-0.001966671446249158,-0.007982560427890938,results/if_oof_usr_rdkit2d_combo_cls_5seed
ESOL,regression,0,R5_rank_regression,chemistry_uncertainty,0.9,0.005157963745643509,0.29211710222737297,call,0.0,utility_lcb,87,0.05323983462103484,0.02400538023312891,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,1,R0_raw_utility,full_mechanism,0.9,0.002023303355878768,0.26177250775102634,abstain,0.0,utility_lcb,87,0.020845325415161833,-0.02076436739927049,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,2,R4_pairwise_margin_weighted,full_mechanism,0.9,0.00315427415076352,0.2896106565246491,abstain,0.0,utility_lcb,87,0.0331683523353489,-0.0073430675966986575,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,3,R2_margin_binary,chemistry,0.95,0.0013719414003175627,0.18884857339556463,abstain,0.0,utility_lcb,44,0.02781807910312304,-0.0030575787966901483,results/if_oof_scalar_rdkit2d_combo_reg_5seed
