task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BACE,classification,R7_oof_selected_top,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,5.0,0.857670126874279,0.0020539796791820314,0.857670 +/- 0.002054,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,10.0,0.8570645905420993,0.002286167778882914,0.857065 +/- 0.002286,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,20.0,0.8546712802768166,0.00406078169451445,0.854671 +/- 0.004061,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,40.0,0.8547073241061129,0.004253171856978152,0.854707 +/- 0.004253,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,60.0,0.8502883506343715,0.006186977631966771,0.850288 +/- 0.006187,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,80.0,0.8503604382929643,0.004988215953358736,0.850360 +/- 0.004988,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,R7_oof_selected_top,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,R8_oof_selected_gated,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,R8_oof_selected_gated,5.0,0.8579728950403691,0.0018027104212440994,0.857973 +/- 0.001803,4.117647058823529,1.8487394957983192,4.117647 +/- 1.848739,5
BACE,classification,R8_oof_selected_gated,10.0,0.8580017301038062,0.0016698215690791349,0.858002 +/- 0.001670,7.647058823529411,3.7430348657680823,7.647059 +/- 3.743035,5
BACE,classification,R8_oof_selected_gated,20.0,0.8564013840830451,0.0019348520945064456,0.856401 +/- 0.001935,13.697478991596636,8.240437426642865,13.697479 +/- 8.240437,5
BACE,classification,R8_oof_selected_gated,40.0,0.8566753171856977,0.0037913996733493606,0.856675 +/- 0.003791,23.865546218487392,16.668337839620083,23.865546 +/- 16.668338,5
BACE,classification,R8_oof_selected_gated,60.0,0.8547649942329872,0.0078087140648619045,0.854765 +/- 0.007809,28.23529411764706,21.930036211606122,28.235294 +/- 21.930036,5
BACE,classification,R8_oof_selected_gated,80.0,0.8560697808535178,0.005250357523924902,0.856070 +/- 0.005250,32.18487394957983,28.19399741093426,32.184874 +/- 28.193997,5
BACE,classification,R8_oof_selected_gated,100.0,0.8560409457900807,0.005306356830929218,0.856041 +/- 0.005306,36.21848739495799,35.27550529647072,36.218487 +/- 35.275505,5
BACE,classification,R9_oof_safe_guardrail,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,R9_oof_safe_guardrail,5.0,0.8581459054209919,0.001581597315305204,0.858146 +/- 0.001582,3.1092436974789917,2.3708799965825014,3.109244 +/- 2.370880,5
BACE,classification,R9_oof_safe_guardrail,10.0,0.8575403690888119,0.0017476760441390642,0.857540 +/- 0.001748,5.630252100840336,4.5222265704449445,5.630252 +/- 4.522227,5
BACE,classification,R9_oof_safe_guardrail,20.0,0.8567762399077278,0.0016871592498639762,0.856776 +/- 0.001687,9.663865546218487,8.988061819913234,9.663866 +/- 8.988062,5
BACE,classification,R9_oof_safe_guardrail,40.0,0.8580594002306805,0.0013866337991401145,0.858059 +/- 0.001387,15.88235294117647,16.628041772255088,15.882353 +/- 16.628042,5
BACE,classification,R9_oof_safe_guardrail,60.0,0.8581603229527104,0.001558561186133804,0.858160 +/- 0.001559,16.218487394957982,17.120186030521182,16.218487 +/- 17.120186,5
BACE,classification,R9_oof_safe_guardrail,80.0,0.8581603229527104,0.001558561186133804,0.858160 +/- 0.001559,16.218487394957982,17.120186030521182,16.218487 +/- 17.120186,5
BACE,classification,R9_oof_safe_guardrail,100.0,0.8581603229527104,0.001558561186133804,0.858160 +/- 0.001559,16.218487394957982,17.120186030521182,16.218487 +/- 17.120186,5
BACE,classification,flexibility,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,flexibility,5.0,0.8577277970011534,0.002378499495651825,0.857728 +/- 0.002378,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,flexibility,10.0,0.8575115340253749,0.002392441581625271,0.857512 +/- 0.002392,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,flexibility,20.0,0.8554282006920415,0.002628185931216397,0.855428 +/- 0.002628,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,flexibility,40.0,0.850857843137255,0.0032295271049596697,0.850858 +/- 0.003230,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,flexibility,60.0,0.8500937139561706,0.0031259788918735322,0.850094 +/- 0.003126,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,flexibility,80.0,0.8526888696655133,0.0026740537760945138,0.852689 +/- 0.002674,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,flexibility,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,old_voi,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,old_voi,5.0,0.8563437139561707,0.0005810104290544533,0.856344 +/- 0.000581,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,old_voi,10.0,0.8553777393310267,0.000621209934337126,0.855378 +/- 0.000621,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,old_voi,20.0,0.8535827566320646,0.0012430471106248708,0.853583 +/- 0.001243,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,old_voi,40.0,0.8509731833910035,0.0010539600278256535,0.850973 +/- 0.001054,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,old_voi,60.0,0.8495386389850058,0.001358924067814137,0.849539 +/- 0.001359,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,old_voi,80.0,0.8505046136101498,0.0019523116099192934,0.850505 +/- 0.001952,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,old_voi,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,oracle,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,oracle,5.0,0.870847750865052,0.0019771477798630204,0.870848 +/- 0.001977,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,oracle,10.0,0.8756199538638985,0.0021729855860000676,0.875620 +/- 0.002173,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,oracle,20.0,0.8820285467128027,0.0019956697200689865,0.882029 +/- 0.001996,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,oracle,40.0,0.8868079584775085,0.0016604590598486898,0.886808 +/- 0.001660,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,oracle,60.0,0.8865556516724336,0.0019801943152698196,0.886556 +/- 0.001980,60.08403361344538,0.0,60.084034 +/- 0.000000,5
