task,router,budget_upper_bound_percent,actual_call_rate_mean,actual_minus_budget_percent,note
BACE,R7_oof_selected_top,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BACE,R8_oof_selected_gated,20.0,13.697478991596636,-6.302521008403364,
BACE,R9_oof_safe_guardrail,20.0,9.663865546218489,-10.336134453781511,
BACE,flexibility,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BACE,old_voi,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BACE,oracle,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BACE,random,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BACE,uncertainty,20.0,20.16806722689076,0.16806722689075926,rounding from selecting an integer number of molecules
BBBP,R7_oof_selected_top,20.0,20.0,0.0,
BBBP,R8_oof_selected_gated,20.0,15.344262295081966,-4.6557377049180335,
BBBP,R9_oof_safe_guardrail,20.0,0.0,-20.0,
BBBP,flexibility,20.0,20.0,0.0,
BBBP,old_voi,20.0,20.0,0.0,
BBBP,oracle,20.0,20.0,0.0,
BBBP,random,20.0,20.0,0.0,
BBBP,uncertainty,20.0,20.0,0.0,
ESOL,R7_oof_selected_top,20.0,19.9203187250996,-0.07968127490039834,
ESOL,R8_oof_selected_gated,20.0,7.729083665338645,-12.270916334661354,
ESOL,R9_oof_safe_guardrail,20.0,5.099601593625498,-14.900398406374503,
ESOL,flexibility,20.0,19.9203187250996,-0.07968127490039834,
ESOL,old_voi,20.0,19.9203187250996,-0.07968127490039834,
ESOL,oracle,20.0,19.9203187250996,-0.07968127490039834,
ESOL,random,20.0,19.9203187250996,-0.07968127490039834,
ESOL,uncertainty,20.0,19.9203187250996,-0.07968127490039834,
FreeSolv,R7_oof_selected_top,20.0,19.871794871794872,-0.12820512820512775,
FreeSolv,R8_oof_selected_gated,20.0,11.346153846153848,-8.653846153846152,
FreeSolv,R9_oof_safe_guardrail,20.0,0.0,-20.0,
FreeSolv,flexibility,20.0,19.871794871794872,-0.12820512820512775,
FreeSolv,old_voi,20.0,19.871794871794872,-0.12820512820512775,
FreeSolv,oracle,20.0,19.871794871794872,-0.12820512820512775,
FreeSolv,random,20.0,19.871794871794872,-0.12820512820512775,
FreeSolv,uncertainty,20.0,19.871794871794872,-0.12820512820512775,
HIV,R7_oof_selected_top,20.0,19.978914074855037,-0.02108592514496266,
HIV,R8_oof_selected_gated,20.0,14.433315761729045,-5.566684238270955,
HIV,R9_oof_safe_guardrail,20.0,0.0,-20.0,
HIV,flexibility,20.0,19.978914074855037,-0.02108592514496266,
HIV,old_voi,20.0,19.978914074855037,-0.02108592514496266,
HIV,oracle,20.0,19.978914074855037,-0.02108592514496266,
HIV,random,20.0,19.978914074855037,-0.02108592514496266,
HIV,uncertainty,20.0,19.978914074855037,-0.02108592514496266,
Lipophilicity,R7_oof_selected_top,20.0,20.0,0.0,
Lipophilicity,R8_oof_selected_gated,20.0,6.264462809917355,-13.735537190082646,
Lipophilicity,R9_oof_safe_guardrail,20.0,1.7355371900826448,-18.264462809917354,
Lipophilicity,flexibility,20.0,20.0,0.0,
Lipophilicity,old_voi,20.0,20.0,0.0,
Lipophilicity,oracle,20.0,20.0,0.0,
Lipophilicity,random,20.0,20.0,0.0,
Lipophilicity,uncertainty,20.0,20.0,0.0,
