final_router,baseline,task,task_type,raw_delta_mean,raw_delta_std,norm_delta_mean,norm_delta_std,n_seeds,n_positive_raw_seed_pairs,n_positive_norm_seed_pairs
R9_oof_safe_guardrail,random,BACE,classification,0.0048513192041522,0.002479420238613027,0.2590205936959552,0.1635349024965009,5,5,5
R9_oof_safe_guardrail,random,BBBP,classification,-0.00254435963521012,0.0020181453104558275,-0.1446961168773814,0.11189121354412605,5,1,1
R9_oof_safe_guardrail,random,ESOL,regression,0.00061188405403584,0.006945223721192794,0.04285455575128906,0.17187006049138984,5,2,2
R9_oof_safe_guardrail,random,FreeSolv,regression,0.27450603239566845,0.05103770342187499,5.406060145641485,2.6251678986023728,5,5,5
R9_oof_safe_guardrail,random,HIV,classification,0.00034849381880712666,0.0062225547411522576,0.009899321063909325,0.09068374293950368,5,2,2
R9_oof_safe_guardrail,random,Lipophilicity,regression,0.002364099017007278,0.0032408851653904364,0.05781626605295059,0.07696912911435137,5,3,3
R9_oof_safe_guardrail,uncertainty,BACE,classification,0.00974300749711648,0.0008849133736300387,0.4996237430290534,0.09661477603668721,5,5,5
R9_oof_safe_guardrail,uncertainty,BBBP,classification,-0.0033953707375098396,0.002017415106194517,-0.19538683238134452,0.1077172113818702,5,0,0
R9_oof_safe_guardrail,uncertainty,ESOL,regression,0.00142042751051992,0.0074493806889419315,0.06480044900311548,0.19223423976371246,5,3,3
R9_oof_safe_guardrail,uncertainty,FreeSolv,regression,0.24145317776600517,0.06080891665625917,4.862960138860983,2.7873584835186906,5,5,5
R9_oof_safe_guardrail,uncertainty,HIV,classification,0.011354435375875618,0.008292442343915848,0.17198756748500363,0.1285179607686567,5,5,5
R9_oof_safe_guardrail,uncertainty,Lipophilicity,regression,0.0031583329876690588,0.002149399446791756,0.07491087231679469,0.0530487880322975,5,5,5
R9_oof_safe_guardrail,flexibility,BACE,classification,0.0055179498269896,0.0015385495044082137,0.2857507012983526,0.09813650022903728,5,5,5
R9_oof_safe_guardrail,flexibility,BBBP,classification,-0.0015022799365582598,0.002174107552024725,-0.08172681748765065,0.12360111617338446,5,2,2
R9_oof_safe_guardrail,flexibility,ESOL,regression,0.0005622346456687799,0.008513933659708248,0.03916619279402404,0.1845849372876152,5,2,2
R9_oof_safe_guardrail,flexibility,FreeSolv,regression,0.3444465335751191,0.053721961100190334,6.7389808917001375,2.9721840019170247,5,5,5
R9_oof_safe_guardrail,flexibility,HIV,classification,0.0025777758982816197,0.004916169533100772,0.04092846567817829,0.07254428505823918,5,3,3
R9_oof_safe_guardrail,flexibility,Lipophilicity,regression,0.0013663477507307184,0.002625832484727783,0.03383039556170275,0.06237245668602968,5,3,3
R9_oof_safe_guardrail,old_voi,BACE,classification,0.00654880334486736,0.000996947917436609,0.3385483187841336,0.09156399828144976,5,5,5
R9_oof_safe_guardrail,old_voi,BBBP,classification,-0.002741623711340159,0.002156033314865694,-0.15540160502622474,0.1195239695047657,5,0,0
R9_oof_safe_guardrail,old_voi,ESOL,regression,7.135054901780003e-05,0.009603319097058643,0.03099983543457152,0.19422014319240155,5,3,3
R9_oof_safe_guardrail,old_voi,FreeSolv,regression,0.2515353136819142,0.03383278737338263,4.768701340572595,1.4835082620715967,5,5,5
R9_oof_safe_guardrail,old_voi,HIV,classification,0.005070022976839861,0.007745396599560792,0.07820633937011043,0.11887804753673162,5,3,3
R9_oof_safe_guardrail,old_voi,Lipophilicity,regression,0.0014904161913729384,0.0025966756968325375,0.037440344680599924,0.05964926499484867,5,3,3
R9_oof_safe_guardrail,R7_oof_selected_top,BACE,classification,0.00532475490196078,0.002226989395549973,0.2751058832264539,0.11804695650329868,5,5,5
R9_oof_safe_guardrail,R7_oof_selected_top,BBBP,classification,-0.003299216891356,0.002026586585537454,-0.1913258389428424,0.11085174620566544,5,0,0
R9_oof_safe_guardrail,R7_oof_selected_top,ESOL,regression,-0.0009163260932937199,0.00921601541119192,0.006883054501595076,0.18302307804756163,5,3,3
R9_oof_safe_guardrail,R7_oof_selected_top,FreeSolv,regression,0.23255515314478137,0.036093757781623784,4.366745578749983,1.299316394918726,5,5,5
R9_oof_safe_guardrail,R7_oof_selected_top,HIV,classification,0.007433465837808841,0.00977150208902334,0.11156482091597697,0.15232536726187426,5,4,4
R9_oof_safe_guardrail,R7_oof_selected_top,Lipophilicity,regression,0.0017447406236494583,0.0019786962365085196,0.04277079740658304,0.04711273242403376,5,4,4
R9_oof_safe_guardrail,R8_oof_selected_gated,BACE,classification,0.00161620530565166,0.00323241061130332,0.0773770121354988,0.1547540242709976,5,1,1
R9_oof_safe_guardrail,R8_oof_selected_gated,BBBP,classification,-0.001011102299762063,0.0017896816709222433,-0.05771835153333051,0.10270694393214756,5,1,1
R9_oof_safe_guardrail,R8_oof_selected_gated,ESOL,regression,-0.0020216121590184597,0.002556116893978748,-0.03947280325308874,0.0521553547428156,5,0,0
R9_oof_safe_guardrail,R8_oof_selected_gated,FreeSolv,regression,0.03707129705716404,0.04319162944524907,0.543784599805669,0.7409112249869882,5,4,4
R9_oof_safe_guardrail,R8_oof_selected_gated,HIV,classification,0.00741947533866162,0.011729828845659502,0.10966732287064618,0.18152041785627418,5,4,4
R9_oof_safe_guardrail,R8_oof_selected_gated,Lipophilicity,regression,2.788270765098e-05,5.576541530196001e-05,0.0006461348725938579,0.0012922697451877155,5,1,1
