task,task_type,seed,calibration_fold,objective,feature_group,gate_quantile,router_train_oof_BIG,router_train_oof_ndcg20,safe_decision,safe_utility_lcb_threshold,cal_selected_n,cal_selected_mean_utility,cal_selected_utility_lcb,train_n,cal_n,source_dir
BACE,classification,0,0,R0_raw_utility,chemistry,0.9,0.006137973911411581,0.33489480388314913,abstain,0.0,18,0.06269093379626417,-0.07832535397148527,1020,255,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,1,1,R0_raw_utility,full_mechanism,0.9,0.005021818693693629,0.3157488360583366,abstain,0.0,19,0.02796170589554382,-0.12210759644902386,1020,255,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,2,2,R0_raw_utility,chemistry_uncertainty,0.8,0.0037838619869870384,0.2627803110421909,call,0.0,51,0.12519855800108953,0.01215993968386833,1020,255,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,3,3,R5_rank_regression,chemistry,0.5,0.003900873529779897,0.21628697304832634,abstain,0.0,51,0.04196372209997996,-0.06763838505574896,1020,255,results/if_oof_usr_rdkit2d_combo_cls_5seed
BACE,classification,4,4,R3_three_class,chemistry,0.5,0.006617457301050945,0.2884756549464074,abstain,0.0,51,0.041788299909904084,-0.09036894035427458,1020,255,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,0,0,R1_binary,full_mechanism,0.5,0.0035604833028040237,0.08408584860270787,abstain,0.0,67,0.005148217126565005,-0.05603054933147675,1336,334,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,1,1,R1_binary,chemistry,0.7,0.002835865346433047,0.10449748242110987,abstain,0.0,51,-0.07526256405069595,-0.19440435531206504,1336,334,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,2,2,R1_binary,chemistry,0.7,0.002823456133833768,0.1274368332253118,abstain,0.0,46,-0.023093675680291883,-0.060745988392153075,1336,334,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,3,3,R5_rank_regression,chemistry,0.7,0.0044961240310077664,0.25169241072738435,abstain,0.0,52,0.024531129940530076,-0.136595546637099,1336,334,results/if_oof_usr_rdkit2d_combo_cls_5seed
BBBP,classification,4,4,R2_margin_binary,chemistry,0.8,0.0013910957035324996,0.17654280919180473,abstain,0.0,53,0.05941257280930756,-0.011160101736133543,1336,334,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,0,0,R1_binary,full_mechanism,0.5,0.007102530614588138,0.09601772069402403,abstain,0.0,404,-0.0066934987471284745,-0.020568820203101645,8082,2021,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,1,1,R1_binary,chemistry_uncertainty,0.5,0.009734085661644723,0.16454611758501467,abstain,0.0,404,-0.011020468664892482,-0.027981095332744132,8082,2021,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,2,2,R2_margin_binary,full_mechanism,0.6,0.004985062718195205,0.21925232799224992,abstain,0.0,404,-0.005912316179648812,-0.022818888300659406,8082,2021,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,3,3,R1_binary,full_mechanism,0.6,0.010506649975060843,0.09931942029306969,abstain,0.0,253,0.0009827763562978767,-0.0060863039706901875,8083,2020,results/if_oof_usr_rdkit2d_combo_cls_5seed
HIV,classification,4,4,R1_binary,chemistry,0.8,0.008691773052561696,0.11052945618238226,abstain,0.0,137,0.010037187546207171,-0.0024893860511568558,8083,2020,results/if_oof_usr_rdkit2d_combo_cls_5seed
ESOL,regression,0,0,R5_rank_regression,chemistry_uncertainty,0.9,0.006951007149639829,0.3148493168107559,abstain,0.0,8,-0.021461347341537318,-0.09600603899359682,692,174,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,1,1,R5_rank_regression,full_mechanism,0.6,0.002154185630679914,0.22953802105388232,abstain,0.0,35,0.012588426426478765,-0.0368390820326124,693,173,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,2,2,R4_pairwise_margin_weighted,full_mechanism,0.8,0.002974870651040122,0.30901970601602374,abstain,0.0,24,-0.02683186213175452,-0.10258078256746128,693,173,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,3,3,R2_margin_binary,chemistry_uncertainty,0.9,0.003862713030922374,0.20647562414125037,abstain,0.0,8,-0.004461075067520248,-0.05145141522586355,693,173,results/if_oof_scalar_rdkit2d_combo_reg_5seed
ESOL,regression,4,4,R0_raw_utility,full_mechanism,0.7,0.0065111642498302605,0.28225714345908237,abstain,0.0,35,0.029915534101213722,-0.039865813246454496,693,173,results/if_oof_scalar_rdkit2d_combo_reg_5seed
FreeSolv,regression,0,0,R3_three_class,chemistry_uncertainty,0.8,0.013999960121783311,0.23718254146476422,abstain,0.0,5,0.11224913787841828,-inf,264,66,results/if_oof_scalar_rdkit2d_combo_reg_5seed
FreeSolv,regression,1,1,R0_raw_utility,chemistry,0.95,0.018045062437201886,0.5268324885216635,abstain,0.0,1,-0.5185861587524414,-inf,264,66,results/if_oof_scalar_rdkit2d_combo_reg_5seed
FreeSolv,regression,2,2,R1_binary,chemistry_uncertainty,0.5,0.012118078617435551,0.15080539725481348,abstain,0.0,13,-0.2540616842416617,-0.6990026281430171,264,66,results/if_oof_scalar_rdkit2d_combo_reg_5seed
FreeSolv,regression,3,3,R1_binary,full_mechanism,0.9,0.0067714912512084864,0.10641951627020656,abstain,0.0,5,-0.1745025634765625,-inf,264,66,results/if_oof_scalar_rdkit2d_combo_reg_5seed
FreeSolv,regression,4,4,R5_rank_regression,chemistry,0.99,0.011452445252375178,0.5250964524652316,abstain,0.0,0,,-inf,264,66,results/if_oof_scalar_rdkit2d_combo_reg_5seed
Lipophilicity,regression,0,0,R5_rank_regression,chemistry,0.9,0.0034540247635598876,0.27089866640181537,abstain,0.0,18,0.07859666665395112,-0.007951891872617736,2392,598,results/if_oof_scalar_rdkit2d_combo_reg_5seed
Lipophilicity,regression,1,1,R4_pairwise_margin_weighted,chemistry_uncertainty,0.5,0.0024142891633071985,0.26260842081675206,abstain,0.0,120,0.010091426849365237,-0.017816237969199806,2392,598,results/if_oof_scalar_rdkit2d_combo_reg_5seed
Lipophilicity,regression,2,2,R5_rank_regression,full_mechanism,0.6,0.0040691803283116786,0.2647128452055623,abstain,0.0,120,-0.019676918148994416,-0.045070919197797814,2392,598,results/if_oof_scalar_rdkit2d_combo_reg_5seed
Lipophilicity,regression,3,3,R3_three_class,chemistry_uncertainty,0.9,0.0007901469112738424,0.23571043514620496,abstain,0.0,13,-0.03553937031672552,-0.10684076666831961,2392,598,results/if_oof_scalar_rdkit2d_combo_reg_5seed
Lipophilicity,regression,4,4,R0_raw_utility,chemistry_uncertainty,0.9,0.0013150509271931815,0.23562591776610348,abstain,0.0,7,0.014886685098920533,-inf,2392,598,results/if_oof_scalar_rdkit2d_combo_reg_5seed
