task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BACE,classification,R7_nested_top,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,R7_nested_top,5.0,0.8573241061130334,0.001288253050962431,0.857324 +/- 0.001288,5.042016806722689,0.0,5.042017 +/- 0.000000,5
BACE,classification,R7_nested_top,10.0,0.855896770472895,0.00150868292506172,0.855897 +/- 0.001509,10.084033613445378,0.0,10.084034 +/- 0.000000,5
BACE,classification,R7_nested_top,20.0,0.8527104959630911,0.002513947926052736,0.852710 +/- 0.002514,20.168067226890756,0.0,20.168067 +/- 0.000000,5
BACE,classification,R7_nested_top,40.0,0.8529988465974625,0.00531392159567771,0.852999 +/- 0.005314,39.91596638655462,0.0,39.915966 +/- 0.000000,5
BACE,classification,R7_nested_top,60.0,0.851492214532872,0.0051686097150565645,0.851492 +/- 0.005169,60.08403361344538,0.0,60.084034 +/- 0.000000,5
BACE,classification,R7_nested_top,80.0,0.8503964821222608,0.004850197814739169,0.850396 +/- 0.004850,79.83193277310924,0.0,79.831933 +/- 0.000000,5
BACE,classification,R7_nested_top,100.0,0.8467128027681661,0.002201024042864843,0.846713 +/- 0.002201,100.0,0.0,100.000000 +/- 0.000000,5
BACE,classification,R8_nested_gated,0.0,0.8583621683967705,0.0019020216359908015,0.858362 +/- 0.001902,0.0,0.0,0.000000 +/- 0.000000,5
BACE,classification,R8_nested_gated,5.0,0.8573961937716262,0.0013936615886498943,0.857396 +/- 0.001394,4.7899159663865545,0.5042016806722688,4.789916 +/- 0.504202,5
BACE,classification,R8_nested_gated,10.0,0.8562139561707035,0.0019897238492872994,0.856214 +/- 0.001990,8.823529411764707,2.521008403361344,8.823529 +/- 2.521008,5
BACE,classification,R8_nested_gated,20.0,0.8549307958477508,0.003316533736721855,0.854931 +/- 0.003317,14.873949579831933,6.783339855667417,14.873950 +/- 6.783340,5
BACE,classification,R8_nested_gated,40.0,0.8544982698961938,0.00498080338011127,0.854498 +/- 0.004981,23.865546218487395,14.910698560853179,23.865546 +/- 14.910699,5
BACE,classification,R8_nested_gated,60.0,0.8539576124567473,0.005560870205809394,0.853958 +/- 0.005561,29.579831932773107,21.646771750275615,29.579832 +/- 21.646772,5
BACE,classification,R8_nested_gated,80.0,0.8537557670126874,0.005798357722849394,0.853756 +/- 0.005798,30.168067226890752,22.491200642660715,30.168067 +/- 22.491201,5
BACE,classification,R8_nested_gated,100.0,0.8537557670126874,0.005798357722849394,0.853756 +/- 0.005798,30.168067226890752,22.491200642660715,30.168067 +/- 22.491201,5
