task,task_type,router,BIG_mean,BIG_std,BIG_mean_std,n_seeds
BACE,classification,R0_raw_utility,-0.006800749711649357,0.002519331748592,-0.006801 +/- 0.002519,5
BACE,classification,R1_binary,-0.006618728373702414,0.0014033078812869797,-0.006619 +/- 0.001403,5
BACE,classification,R2_margin_binary,-0.005648788927335632,0.002532979071600975,-0.005649 +/- 0.002533,5
BACE,classification,R3_three_class,-0.007188941753171865,0.0038029791169442236,-0.007189 +/- 0.003803,5
BACE,classification,R4_pairwise_margin_weighted,-0.0061768310265282594,0.003171857920139807,-0.006177 +/- 0.003172,5
BACE,classification,R5_rank_regression,-0.005780348904267587,0.0015645611208642042,-0.005780 +/- 0.001565,5
BACE,classification,R6_rank_reliability,-0.0061768310265282594,0.003171857920139807,-0.006177 +/- 0.003172,5
BACE,classification,flexibility,-0.005989763552479802,0.002212782787563771,-0.005990 +/- 0.002213,5
BACE,classification,old_voi,-0.007020617070357543,0.002188193046488026,-0.007021 +/- 0.002188,5
BACE,classification,oracle,0.019887543252595168,0.0023691832452969936,0.019888 +/- 0.002369,5
BACE,classification,random,-0.005323132929642424,0.003094363301394697,-0.005323 +/- 0.003094,5
BACE,classification,uncertainty,-0.010214821222606692,0.002029534219383699,-0.010215 +/- 0.002030,5
BBBP,classification,R0_raw_utility,0.0019106859635210048,0.0027041365384366327,0.001911 +/- 0.002704,5
BBBP,classification,R1_binary,0.0036218774781918857,0.0019268298296428925,0.003622 +/- 0.001927,5
BBBP,classification,R2_margin_binary,0.002623166137985698,0.0020922879865315222,0.002623 +/- 0.002092,5
BBBP,classification,R3_three_class,0.0032491574147501777,0.0017029931061194343,0.003249 +/- 0.001703,5
BBBP,classification,R4_pairwise_margin_weighted,0.0018839214908802416,0.001914337341576396,0.001884 +/- 0.001914,5
BBBP,classification,R5_rank_regression,0.0038818398096748504,0.002030124376891823,0.003882 +/- 0.002030,5
BBBP,classification,R6_rank_reliability,0.0018839214908802416,0.001914337341576396,0.001884 +/- 0.001914,5
BBBP,classification,flexibility,0.0015022799365582728,0.0021741075520247655,0.001502 +/- 0.002174,5
BBBP,classification,old_voi,0.0027416237113401824,0.002156033314865702,0.002742 +/- 0.002156,5
BBBP,classification,oracle,0.016735725614591558,0.0011804178798329348,0.016736 +/- 0.001180,5
BBBP,classification,random,0.0025443596352101314,0.0020181453104558453,0.002544 +/- 0.002018,5
BBBP,classification,uncertainty,0.0033953707375098973,0.0020174151061945187,0.003395 +/- 0.002017,5
ESOL,regression,R0_raw_utility,0.005384289668812695,0.010094960966950067,0.005384 +/- 0.010095,5
ESOL,regression,R1_binary,0.00199024399176062,0.006145763740588755,0.001990 +/- 0.006146,5
ESOL,regression,R2_margin_binary,0.0023257512145593204,0.007901736115567194,0.002326 +/- 0.007902,5
ESOL,regression,R3_three_class,0.0023216573886757387,0.009305232304068996,0.002322 +/- 0.009305,5
ESOL,regression,R4_pairwise_margin_weighted,0.004857974031683927,0.008707390248959876,0.004858 +/- 0.008707,5
ESOL,regression,R5_rank_regression,0.0038071002319229373,0.0080779109541713,0.003807 +/- 0.008078,5
ESOL,regression,R6_rank_reliability,0.004857974031683927,0.008707390248959876,0.004858 +/- 0.008707,5
ESOL,regression,flexibility,0.0020459404127341424,0.006745552824718263,0.002046 +/- 0.006746,5
ESOL,regression,old_voi,0.002722524868330611,0.011249018179461473,0.002723 +/- 0.011249,5
ESOL,regression,oracle,0.04902974345579566,0.009493479396468264,0.049030 +/- 0.009493,5
ESOL,regression,random,0.001996291004367074,0.007525426208568039,0.001996 +/- 0.007525,5
