task,task_type,feature_group,beneficial_auc_mean,beneficial_auc_std,beneficial_auc_mean_std,precision_at_20_mean,precision_at_20_std,precision_at_20_mean_std,ndcg_at_20_mean,ndcg_at_20_std,ndcg_at_20_mean_std,utility_spearman_mean,utility_spearman_std,utility_spearman_mean_std,n_seeds
BACE,classification,chemistry,0.4848025238910559,0.026531165280137988,0.484803 +/- 0.026531,0.4541666666666666,0.03584302194601095,0.454167 +/- 0.035843,0.13716646685079376,0.06835067392273972,0.137166 +/- 0.068351,-0.03731060343754521,0.05166163810322484,-0.037311 +/- 0.051662,5
BACE,classification,chemistry_uncertainty,0.5052345272082216,0.03460116089125158,0.505235 +/- 0.034601,0.5,0.0510310363079829,0.500000 +/- 0.051031,0.15316241034102923,0.02965196726627846,0.153162 +/- 0.029652,0.02878507484741063,0.05700184945442331,0.028785 +/- 0.057002,5
BACE,classification,chemistry_uncertainty_geometry,0.5125939390647419,0.036160976219139725,0.512594 +/- 0.036161,0.4958333333333334,0.048232653761625936,0.495833 +/- 0.048233,0.0684198680360579,0.049404804399180394,0.068420 +/- 0.049405,0.007668284198378258,0.05592430179465558,0.007668 +/- 0.055924,5
BACE,classification,chemistry_uncertainty_support,0.5198141920256251,0.04301771073479299,0.519814 +/- 0.043018,0.5125000000000001,0.08994597143717878,0.512500 +/- 0.089946,0.17348826389558283,0.043385541644194524,0.173488 +/- 0.043386,0.047086171766727504,0.06133383331148209,0.047086 +/- 0.061334,5
BACE,classification,full_mechanism,0.46370524123365364,0.03134304649338193,0.463705 +/- 0.031343,0.4458333333333333,0.02499999999999999,0.445833 +/- 0.025000,0.17813064756378966,0.02639682297244856,0.178131 +/- 0.026397,-0.055107731350577414,0.038047377210574336,-0.055108 +/- 0.038047,5
BBBP,classification,chemistry,0.49827397347704616,0.04028707282774115,0.498274 +/- 0.040287,0.6131147540983607,0.09365807775138164,0.613115 +/- 0.093658,0.06883168550067408,0.0134523965716408,0.068832 +/- 0.013452,0.015012879169067267,0.05389947781702861,0.015013 +/- 0.053899,5
BBBP,classification,chemistry_uncertainty,0.498461496589809,0.03516839389407849,0.498461 +/- 0.035168,0.6327868852459017,0.06687238706351194,0.632787 +/- 0.066872,0.03183748832931783,0.011534756563583803,0.031837 +/- 0.011535,-0.057826999006181844,0.0588808631105379,-0.057827 +/- 0.058881,5
BBBP,classification,chemistry_uncertainty_geometry,0.49983512188697843,0.031710169625432806,0.499835 +/- 0.031710,0.6360655737704917,0.04566684681043974,0.636066 +/- 0.045667,0.07392513925011875,0.016145427080116084,0.073925 +/- 0.016145,-0.019432319951276453,0.057980253553729,-0.019432 +/- 0.057980,5
BBBP,classification,chemistry_uncertainty_support,0.48272979858918835,0.04851171793327957,0.482730 +/- 0.048512,0.5868852459016394,0.03343619353175597,0.586885 +/- 0.033436,0.04100301714789228,0.018103450710910098,0.041003 +/- 0.018103,-0.07613191607832398,0.09362049723827,-0.076132 +/- 0.093620,5
BBBP,classification,full_mechanism,0.5494492110737124,0.021199123858117123,0.549449 +/- 0.021199,0.659016393442623,0.049070916547854976,0.659016 +/- 0.049071,0.15822739245911313,0.06008455308771312,0.158227 +/- 0.060085,0.06011986330338866,0.03742610749376317,0.060120 +/- 0.037426,5
