task,task_type,router,beneficial_auc_mean,beneficial_auc_std,beneficial_auc_mean_std,beneficial_ap_mean,beneficial_ap_std,beneficial_ap_mean_std,precision_at_10_mean,precision_at_10_std,precision_at_10_mean_std,precision_at_20_mean,precision_at_20_std,precision_at_20_mean_std,ndcg_at_10_mean,ndcg_at_10_std,ndcg_at_10_mean_std,ndcg_at_20_mean,ndcg_at_20_std,ndcg_at_20_mean_std,utility_spearman_mean,utility_spearman_std,utility_spearman_mean_std,n_seeds
BACE,classification,R0_raw_utility,0.49487811411638394,0.021852673605905305,0.494878 +/- 0.021853,0.48290006844665456,0.017741573889279494,0.482900 +/- 0.017742,0.39166666666666666,0.062360956446232366,0.391667 +/- 0.062361,0.4208333333333334,0.07021791477646964,0.420833 +/- 0.070218,0.12210808706443366,0.04304540986730321,0.122108 +/- 0.043045,0.14338722662493303,0.035764050672148856,0.143387 +/- 0.035764,-0.04186612474954106,0.013751485787234778,-0.041866 +/- 0.013751,5
BACE,classification,R1_binary,0.5374155455013613,0.02137150874240299,0.537416 +/- 0.021372,0.5360937319196486,0.043367164128228636,0.536094 +/- 0.043367,0.5666666666666667,0.11055415967851334,0.566667 +/- 0.110554,0.5333333333333333,0.04859126579037751,0.533333 +/- 0.048591,0.09824369017874982,0.06747075067279919,0.098244 +/- 0.067471,0.14350352197054814,0.05725839001096029,0.143504 +/- 0.057258,-0.0020799858538651473,0.021107966873668605,-0.002080 +/- 0.021108,5
BACE,classification,R2_margin_binary,0.4893840748989602,0.00974345051939912,0.489384 +/- 0.009743,0.49263268384812287,0.011972747725062642,0.492633 +/- 0.011973,0.4333333333333334,0.0565194165260439,0.433333 +/- 0.056519,0.4875,0.05368374469468803,0.487500 +/- 0.053684,0.08174230365985773,0.033515349086390735,0.081742 +/- 0.033515,0.12090886829358878,0.02710715153595473,0.120909 +/- 0.027107,-0.04232055256386101,0.015554738658219857,-0.042321 +/- 0.015555,5
BACE,classification,R3_three_class,0.48583615934760854,0.024963330383870528,0.485836 +/- 0.024963,0.48336312686024474,0.026225620452823756,0.483363 +/- 0.026226,0.4083333333333333,0.07168604389202188,0.408333 +/- 0.071686,0.45,0.048591265790377515,0.450000 +/- 0.048591,0.13989931233222233,0.042526424286288764,0.139899 +/- 0.042526,0.16101777330179218,0.030949477390925555,0.161018 +/- 0.030949,-0.0694299641308252,0.03564569928150109,-0.069430 +/- 0.035646,5
BACE,classification,R4_pairwise_margin_weighted,0.46370524123365364,0.03134304649338193,0.463705 +/- 0.031343,0.49734801219441716,0.016519634677466977,0.497348 +/- 0.016520,0.4416666666666667,0.056519416526043885,0.441667 +/- 0.056519,0.4458333333333333,0.02499999999999999,0.445833 +/- 0.025000,0.14207219552710798,0.019808425307621353,0.142072 +/- 0.019808,0.17813064756378966,0.02639682297244856,0.178131 +/- 0.026397,-0.055107731350577414,0.038047377210574336,-0.055108 +/- 0.038047,5
BACE,classification,R5_rank_regression,0.5262356068280192,0.022133918289535807,0.526236 +/- 0.022134,0.5185156442187127,0.03980229028176994,0.518516 +/- 0.039802,0.5083333333333333,0.12747548783981966,0.508333 +/- 0.127475,0.5208333333333334,0.047507309379130745,0.520833 +/- 0.047507,0.12257256453104326,0.054480831091495326,0.122573 +/- 0.054481,0.15541638079407913,0.04166477185561073,0.155416 +/- 0.041665,-0.01376494495949802,0.03206602142493976,-0.013765 +/- 0.032066,5
BACE,classification,R6_rank_reliability,0.46370524123365364,0.03134304649338193,0.463705 +/- 0.031343,0.49734801219441716,0.016519634677466977,0.497348 +/- 0.016520,0.4416666666666667,0.056519416526043885,0.441667 +/- 0.056519,0.4458333333333333,0.02499999999999999,0.445833 +/- 0.025000,0.14207219552710798,0.019808425307621353,0.142072 +/- 0.019808,0.17813064756378966,0.02639682297244856,0.178131 +/- 0.026397,-0.055107731350577414,0.038047377210574336,-0.055108 +/- 0.038047,5
BACE,classification,flexibility,0.49608482572716034,0.03544393660370917,0.496085 +/- 0.035444,0.5012475883060824,0.044331023334810364,0.501248 +/- 0.044331,0.4833333333333333,0.050000000000000024,0.483333 +/- 0.050000,0.5083333333333334,0.05980291706003051,0.508333 +/- 0.059803,0.07268245521436283,0.04164469558062073,0.072682 +/- 0.041645,0.09625953518888367,0.037285454359000235,0.096260 +/- 0.037285,0.01046385008373341,0.07445208247186151,0.010464 +/- 0.074452,5
BACE,classification,old_voi,0.5193656333791873,0.015562319256674003,0.519366 +/- 0.015562,0.49422760393678944,0.020513657062197592,0.494228 +/- 0.020514,0.4166666666666667,0.052704627669472995,0.416667 +/- 0.052705,0.45,0.036324157862838956,0.450000 +/- 0.036324,0.1028247986939089,0.01855846073395467,0.102825 +/- 0.018558,0.1522608675137413,0.035243905771402975,0.152261 +/- 0.035244,0.004462538020098018,0.04302352891661912,0.004463 +/- 0.043024,5
BACE,classification,oracle,1.0,0.0,1.000000 +/- 0.000000,1.0,1.4043333874306804e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,9.930136612989092e-17,1.000000 +/- 0.000000,1.0,1.4895204919483638e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5
