task,method,primary_metric,k1_primary_mean,k1_delta_vs_2d,k1_call_rate,k10_primary_mean,k10_delta_vs_2d,k10_call_rate,k10_minus_k1_signed
BACE,all_2d,AUROC,0.8461649365628604,0.0,0.0,0.8471309111880047,0.0,0.0,0.0009659746251442503
BACE,all_3d_aug,AUROC,0.8212226066897347,-0.0249423298731257,100.0,0.8138119953863898,-0.0333189158016148,100.0,-0.007410611303344861
BACE,flexibility,AUROC,0.8372981545559398,-0.0088667820069205,20.16806722689076,0.8390138408304498,-0.0081170703575548,20.16806722689076,0.0017156862745100199
BACE,oracle,AUROC,0.8966983852364475,0.0505334486735871,20.16806722689076,0.8944276239907728,0.0472967128027681,20.16806722689076,-0.002270761245674713
BACE,random,AUROC,0.8399894271434064,-0.0061755094194539,20.16806722689076,0.8382352941176471,-0.0088956170703575,20.16806722689076,-0.0017541330257593302
BACE,uncertainty,AUROC,0.8328647635524797,-0.0133001730103806,20.16806722689076,0.8248774509803922,-0.0222534602076124,20.16806722689076,-0.007987312572087513
BACE,voi_router,AUROC,0.8399173394848135,-0.0062475970780468,20.16806722689076,0.8556660899653978,0.0085351787773931,20.16806722689076,0.015748750480584328
BBBP,all_2d,AUROC,0.9396808088818396,0.0,0.0,0.9212827121332277,0.0,0.0,-0.018398096748611925
BBBP,all_3d_aug,AUROC,0.9330888183980968,-0.0065919904837428,100.0,0.9357652656621728,0.0144825535289451,100.0,0.0026764472640760095
BBBP,flexibility,AUROC,0.9396312450436164,-4.956383822318777e-05,20.0,0.9187846946867566,-0.002498017446471,20.0,-0.020846550356859783
BBBP,oracle,AUROC,0.968080888183981,0.0284000793021413,20.0,0.960834655035686,0.0395519429024583,20.0,-0.007246233148294978
BBBP,random,AUROC,0.935352233676976,-0.0043285752048636,20.0,0.9243754956383824,0.0030927835051547,20.0,-0.010976738038593559
BBBP,uncertainty,AUROC,0.9235725614591592,-0.0161082474226803,20.0,0.9133425852498018,-0.0079401268834258,20.0,-0.010229976209357394
BBBP,voi_router,AUROC,0.9386234469997355,-0.001057361882104,20.0,0.9270222045995242,0.0057394924662965,20.0,-0.01160124240021132
ESOL,all_2d,MAE,0.5997037240056557,0.0,0.0,0.5675262522427685,0.0,0.0,0.03217747176288721
ESOL,all_3d_aug,MAE,0.6615799999460633,-0.0618762759404075,100.0,0.6102533849830172,-0.0427271327402486,100.0,0.051326614963046135
ESOL,flexibility,MAE,0.6160461296691694,-0.0163424056635136,19.9203187250996,0.5897307471887048,-0.0222044949459362,19.9203187250996,0.02631538248046461
ESOL,oracle,MAE,0.5107404645854431,0.0889632594202126,19.9203187250996,0.486391483660998,0.0811347685817705,19.9203187250996,0.024348980924445096
ESOL,random,MAE,0.6091096779810035,-0.0094059539753477,19.9203187250996,0.5719543133587477,-0.0044280611159791,19.9203187250996,0.03715536462225577
ESOL,uncertainty,MAE,0.5882940090303269,0.0114097149753288,19.9203187250996,0.5534195363565271,0.0141067158862414,19.9203187250996,0.03487447267379984
ESOL,voi_router,MAE,0.6152223771934099,-0.0155186531877541,19.9203187250996,0.573772261739632,-0.0062460094968634,19.9203187250996,0.04145011545377786
FreeSolv,all_2d,MAE,2.9631552793224025,0.0,0.0,2.2531937206471584,0.0,0.0,0.7099615586752441
FreeSolv,all_3d_aug,MAE,3.2731300089404614,-0.3099747296180588,100.0,2.7548246660049145,-0.5016309453577561,100.0,0.5183053429355469
FreeSolv,flexibility,MAE,3.0586648765881344,-0.0955095972657318,19.871794871794872,2.3890425915634017,-0.1358488709162433,19.871794871794872,0.6696222850247326
FreeSolv,oracle,MAE,2.8086891072008906,0.1544661721215119,19.871794871794872,2.2039902774638094,0.049203443183349,19.871794871794872,0.6046988297370812
FreeSolv,random,MAE,3.008048635719037,-0.0448933563966345,19.871794871794872,2.342021734586893,-0.0888280139397346,19.871794871794872,0.666026901132144
FreeSolv,uncertainty,MAE,3.0316664068738297,-0.0685111275514271,19.871794871794872,2.312100041426909,-0.0589063207797506,19.871794871794872,0.7195663654469207
FreeSolv,voi_router,MAE,2.946869577365231,0.0162857019571713,19.871794871794872,2.3282106296397176,-0.0750169089925592,19.871794871794872,0.6186589477255136
HIV,all_2d,AUROC,0.7236576873740151,0.0,0.0,0.7246578142400022,0.0,0.0,0.00100012686598705
HIV,all_3d_aug,AUROC,0.7512017028234729,0.0275440154494577,100.0,0.74859108273072,0.0239332684907177,100.0,-0.0026106200927529244
HIV,flexibility,AUROC,0.721113319519037,-0.0025443678549781,19.97891407485504,0.7236809461383403,-0.0009768681016618,19.97891407485504,0.0025676266193033204
HIV,oracle,AUROC,0.8224580989836626,0.0988004116096474,19.97891407485504,0.8290438533429187,0.1043860391029165,19.97891407485504,0.006585754359256124
HIV,random,AUROC,0.7344835849508747,0.0108258975768595,19.97891407485504,0.7282121763155298,0.0035543620755276,19.97891407485504,-0.006271408635344922
HIV,uncertainty,AUROC,0.7312062136141301,0.0075485262401149,19.97891407485504,0.7058534556885299,-0.0188043585514723,19.97891407485504,-0.02535275792560021
HIV,voi_router,AUROC,0.7389826287572302,0.015324941383215,19.97891407485504,0.7264304140060049,0.0017725997660027,19.97891407485504,-0.012552214751225255
