task,rotatable_bin,p_acquire_3d,n,mean_utility
BACE,0,,0,
BACE,1-2,0.1259259259259259,135,-0.041041462464814854
BACE,3-5,0.09032258064516129,310,-0.0022641858797894125
BACE,6-8,0.11818181818181818,110,-0.07562998205460532
BACE,9+,0.08976377952755905,635,-0.03720777109646737
BBBP,0,0.0,125,0.005030793647589621
BBBP,1-2,0.0,360,0.010084580687218413
BBBP,3-5,0.0,600,-0.0017125903201349506
BBBP,6-8,0.0,340,0.006281166658353584
BBBP,9+,0.0,100,-0.019433213640815194
ESOL,0,0.09113924050632911,395,-0.01639644490254077
ESOL,1-2,0.03368421052631579,475,0.03534650360508968
ESOL,3-5,0.032,250,0.009640776386260964
ESOL,6-8,0.010526315789473684,95,-0.029485727089329786
ESOL,9+,0.075,40,-0.14831358547210696
FreeSolv,0,0.0,590,-0.2699207259032686
FreeSolv,1-2,0.0,535,-0.5302151809228914
FreeSolv,3-5,0.0,340,-0.907547861884622
FreeSolv,6-8,0.0,90,-1.0574666049745347
FreeSolv,9+,0.0,5,0.4104189872741696
HIV,0,0.0,265,-0.01834386120514
HIV,1-2,0.0,2195,-0.0101489523996904
HIV,3-5,0.0,3915,-0.01688502090835814
HIV,6-8,0.0,1850,-0.009833454646549713
HIV,9+,0.0,1260,-0.0030967413344232583
Lipophilicity,0,0.0,105,0.017297856943947934
Lipophilicity,1-2,0.014492753623188406,690,-0.02920273100120434
Lipophilicity,3-5,0.01775147928994083,2535,-0.0024770190908593773
Lipophilicity,6-8,0.01707317073170732,2050,-0.012788700150280458
Lipophilicity,9+,0.022388059701492536,670,0.011269195029984651
