task,seed,selected_n,permutation_iters,null_permit_rate_alpha_0p025,null_lcb_mean,null_lcb_p95,note
BACE,0,1,200,0.545,-0.037000269628556716,0.2987606485863436,diagnostic null; shuffles realized test utility labels with selected set size fixed
BACE,1,18,200,0.02,-0.18558582734627016,-0.01306082203290561,diagnostic null; shuffles realized test utility labels with selected set size fixed
BACE,2,48,200,0.005,-0.13313289917647533,-0.046182334017899444,diagnostic null; shuffles realized test utility labels with selected set size fixed
BACE,3,48,200,0.005,-0.12150408516934758,-0.04603130028474488,diagnostic null; shuffles realized test utility labels with selected set size fixed
BACE,4,48,200,0.0,-0.1567010299413187,-0.07819791450617622,diagnostic null; shuffles realized test utility labels with selected set size fixed
BBBP,0,51,200,0.02,-0.062335099891990924,-0.007448732634053581,diagnostic null; shuffles realized test utility labels with selected set size fixed
BBBP,1,61,200,0.045,-0.06446033121676344,-0.0009920371442416703,diagnostic null; shuffles realized test utility labels with selected set size fixed
BBBP,2,61,200,0.02,-0.05699466569937707,-0.00677380267979351,diagnostic null; shuffles realized test utility labels with selected set size fixed
BBBP,3,61,200,0.055,-0.061427824027057286,0.000686740744320749,diagnostic null; shuffles realized test utility labels with selected set size fixed
HIV,0,25,200,0.225,-0.06565465397762793,0.0016874913973359395,diagnostic null; shuffles realized test utility labels with selected set size fixed
HIV,1,379,200,0.0,-0.03129099844842488,-0.012235778342594034,diagnostic null; shuffles realized test utility labels with selected set size fixed
HIV,2,379,200,0.005,-0.024045963218434822,-0.008774583822451653,diagnostic null; shuffles realized test utility labels with selected set size fixed
HIV,3,379,200,0.0,-0.031228295904955614,-0.013320707153283888,diagnostic null; shuffles realized test utility labels with selected set size fixed
HIV,4,207,200,0.0,-0.03513040815193416,-0.010573605329782843,diagnostic null; shuffles realized test utility labels with selected set size fixed
ESOL,0,7,200,0.04,-0.1266520996196951,-0.016274855818067424,diagnostic null; shuffles realized test utility labels with selected set size fixed
ESOL,1,8,200,0.055,-0.09827973254334926,0.0015794343128801985,diagnostic null; shuffles realized test utility labels with selected set size fixed
ESOL,2,34,200,0.025,-0.053936467601418465,-0.008510030682016995,diagnostic null; shuffles realized test utility labels with selected set size fixed
ESOL,4,50,200,0.05,-0.037276007543721214,-0.0009507910956383567,diagnostic null; shuffles realized test utility labels with selected set size fixed
FreeSolv,0,47,200,0.0,-0.7464404847186171,-0.5534895062213249,diagnostic null; shuffles realized test utility labels with selected set size fixed
FreeSolv,1,5,200,0.01,-1.0917711199722289,-0.36201023340225214,diagnostic null; shuffles realized test utility labels with selected set size fixed
FreeSolv,2,62,200,0.0,-0.5672892245099237,-0.45395219962404626,diagnostic null; shuffles realized test utility labels with selected set size fixed
FreeSolv,3,39,200,0.0,-1.1178295392892301,-0.7475356757518573,diagnostic null; shuffles realized test utility labels with selected set size fixed
FreeSolv,4,19,200,0.0,-0.8899279794627742,-0.5896079022558112,diagnostic null; shuffles realized test utility labels with selected set size fixed
Lipophilicity,0,58,200,0.01,-0.054624089634942585,-0.011151690864357454,diagnostic null; shuffles realized test utility labels with selected set size fixed
Lipophilicity,1,242,200,0.0,-0.0316612387949573,-0.013452490474566946,diagnostic null; shuffles realized test utility labels with selected set size fixed
Lipophilicity,2,45,200,0.02,-0.056000140874491795,-0.015580614284012083,diagnostic null; shuffles realized test utility labels with selected set size fixed
Lipophilicity,3,32,200,0.015,-0.061491604337338364,-0.014402327378839308,diagnostic null; shuffles realized test utility labels with selected set size fixed
Lipophilicity,4,3,200,0.14,-0.14842712427020072,0.030845034122466943,diagnostic null; shuffles realized test utility labels with selected set size fixed
