router,router_label,budget,coverage_mean,harmful_rate_mean,beneficial_rate_mean,selected_mean_utility_mean,selected_sum_utility_mean,selected_n_mean,n_pairs
never_3d,Never-3D,0.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,0.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,0.0,0.0,0.0,0.0,,0.0,0.0,30
uncertainty,Uncertainty,0.0,0.0,0.0,0.0,,0.0,0.0,30
flexibility,Flexibility,0.0,0.0,0.0,0.0,,0.0,0.0,30
old_voi,Old VOI,0.0,0.0,0.0,0.0,,0.0,0.0,30
R7_oof_selected_top,R7 Top-Budget,0.0,0.0,0.0,0.0,,0.0,0.0,30
R8_oof_selected_gated,R8 OOF Gated,0.0,0.0,0.0,0.0,,0.0,0.0,30
R9_oof_safe_guardrail,R9 Utility-LCB,0.0,0.0,0.0,0.0,,0.0,0.0,30
oracle,Oracle,0.0,0.0,0.0,0.0,,0.0,0.0,30
never_3d,Never-3D,5.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,5.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,5.0,5.039020416369789,0.4883485155195682,0.5116514844804319,-0.10082323276303598,-1.857723523163064,35.166666666666664,30
uncertainty,Uncertainty,5.0,5.039020416369789,0.5313034188034188,0.4686965811965812,-0.07585341981840407,-2.6455120346092853,35.166666666666664,30
flexibility,Flexibility,5.0,5.039020416369789,0.5403368196131354,0.4596631803868646,-0.17726289745017076,-2.6486620549563344,35.166666666666664,30
old_voi,Old VOI,5.0,5.039020416369789,0.4555898560503824,0.5444101439496176,0.011253548876961917,0.08325191503988741,35.166666666666664,30
R7_oof_selected_top,R7 Top-Budget,5.0,5.039020416369789,0.42414867296446246,0.5758513270355377,-0.04452260673661427,-1.0769338956343089,35.166666666666664,30
R8_oof_selected_gated,R8 OOF Gated,5.0,3.8913103243647305,0.3977082932611517,0.5356250400721816,-0.04706703678786391,-0.8336489095665617,27.4,30
R9_oof_safe_guardrail,R9 Utility-LCB,5.0,1.1527490058286658,0.16054573140780037,0.13945426859219964,-0.03040857763788475,0.00966392029650989,5.6,30
oracle,Oracle,5.0,5.039020416369789,0.0,1.0,0.5884080734219073,13.522021901380064,35.166666666666664,30
never_3d,Never-3D,10.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,10.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,10.0,9.971995071586973,0.5086117627891821,0.49138823721081787,-0.10524446123917586,-3.677342790142445,70.16666666666667,30
uncertainty,Uncertainty,10.0,9.971995071586973,0.49320899066291873,0.5067910093370813,-0.11487266898275397,-4.911989902084406,70.16666666666667,30
flexibility,Flexibility,10.0,9.971995071586973,0.5414453705132822,0.4585546294867177,-0.18813388583965612,-5.775414253837367,70.16666666666667,30
old_voi,Old VOI,10.0,9.971995071586973,0.4357722198057126,0.5642277801942873,-0.005961968087654703,-0.505294512114713,70.16666666666667,30
R7_oof_selected_top,R7 Top-Budget,10.0,9.971995071586973,0.434482832648136,0.5655171673518641,-0.035743282153756925,-1.5635230032450804,70.16666666666667,30
R8_oof_selected_gated,R8 OOF Gated,10.0,6.815874188364817,0.4004420138487849,0.5328913194845484,-0.054001678352490375,-1.1343684552489963,47.93333333333333,30
R9_oof_safe_guardrail,R9 Utility-LCB,10.0,1.7455598353397532,0.1598981937602627,0.14010180623973725,-0.03209724662916871,0.003931692397836198,7.033333333333333,30
oracle,Oracle,10.0,9.971995071586973,0.0,1.0,0.4209507764704608,18.99045109699376,70.16666666666667,30
never_3d,Never-3D,20.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,20.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,20.0,19.989849149773377,0.5043516542564122,0.4956483457435879,-0.10309624442134435,-7.261176282406121,140.33333333333334,30
uncertainty,Uncertainty,20.0,19.989849149773377,0.45424108420890635,0.5457589157910937,-0.1057755358280295,-7.729306675336309,140.33333333333334,30
flexibility,Flexibility,20.0,19.989849149773377,0.5133618620534987,0.4866381379465014,-0.17009534639284116,-10.572922168685388,140.33333333333334,30
old_voi,Old VOI,20.0,19.989849149773377,0.46152991025953305,0.538470089740467,-0.059457380082169616,-4.20371711406502,140.33333333333334,30
R7_oof_selected_top,R7 Top-Budget,20.0,19.989849149773377,0.4525985592634892,0.5474014407365108,-0.05221889844708787,-4.168877804038831,140.33333333333334,30
R8_oof_selected_gated,R8 OOF Gated,20.0,11.469126228302915,0.42166163039208954,0.5116717029412438,-0.07076957732892537,-2.389469852661266,80.63333333333334,30
R9_oof_safe_guardrail,R9 Utility-LCB,20.0,2.7498340549877716,0.1654259715380405,0.1345740284619595,-0.03351194355725565,-0.0039536550787955755,9.466666666666667,30
oracle,Oracle,20.0,19.989849149773377,0.0,1.0,0.273636161489873,25.222436295985755,140.33333333333334,30
never_3d,Never-3D,40.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,40.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,40.0,39.97187489390481,0.49761724785014183,0.5023827521498582,-0.09522847850484899,-13.677352017591867,280.8333333333333,30
uncertainty,Uncertainty,40.0,39.97187489390481,0.4636970782624955,0.5363029217375045,-0.0877282114269867,-13.461243664408501,280.8333333333333,30
flexibility,Flexibility,40.0,39.97187489390481,0.525257768806206,0.474742231193794,-0.1675741661584559,-21.948888929069184,280.8333333333333,30
old_voi,Old VOI,40.0,39.97187489390481,0.4664636873015228,0.5335363126984771,-0.08356991651356778,-11.680247693777453,280.8333333333333,30
R7_oof_selected_top,R7 Top-Budget,40.0,39.97187489390481,0.46624414531397107,0.5337558546860289,-0.06364833617198533,-10.0332695519732,280.8333333333333,30
R8_oof_selected_gated,R8 OOF Gated,40.0,17.529620517415488,0.423151248423955,0.5101820849093783,-0.0701093958004177,-3.6958526364177806,121.76666666666667,30
R9_oof_safe_guardrail,R9 Utility-LCB,40.0,4.450259244984088,0.16564673177195863,0.13435326822804136,-0.027855722194112604,0.19439635006055414,13.6,30
oracle,Oracle,40.0,39.97187489390481,0.07546666666666665,0.9245333333333333,0.1387924511845424,27.748515800689336,280.8333333333333,30
never_3d,Never-3D,60.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,60.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,60.0,60.02812510609519,0.4960769880266513,0.5039230119733487,-0.09784313030497906,-20.33134435663608,421.3333333333333,30
uncertainty,Uncertainty,60.0,60.02812510609519,0.47950980534050885,0.5204901946594912,-0.08568905513107633,-19.49988350071003,421.3333333333333,30
