task,method,metric,mean,sd,n_partitions,mean_sd
BACE,all_2d,AUROC,0.8643543234067463,0.01840155783109094,5,0.8644 +/- 0.0184
BACE,all_3d_aug,AUROC,0.8690172577801407,0.0119737125522837,5,0.8690 +/- 0.0120
BBBP,all_2d,AUROC,0.8994927930604867,0.03151773769690237,5,0.8995 +/- 0.0315
BBBP,all_3d_aug,AUROC,0.8918434022009937,0.03389613388256058,5,0.8918 +/- 0.0339
ESOL,all_2d,MAE,0.5340222619152402,0.036468178014585004,5,0.5340 +/- 0.0365
ESOL,all_3d_aug,MAE,0.5491459818981264,0.03196888832107572,5,0.5491 +/- 0.0320
FreeSolv,all_2d,MAE,1.3081188548819038,0.2308352414152986,5,1.3081 +/- 0.2308
FreeSolv,all_3d_aug,MAE,1.2924693056073215,0.15102098936582517,5,1.2925 +/- 0.1510
HIV,all_2d,AUROC,0.7556957918785047,0.07545741987201071,5,0.7557 +/- 0.0755
HIV,all_3d_aug,AUROC,0.7858250564485666,0.03820966539608106,5,0.7858 +/- 0.0382
Lipophilicity,all_2d,MAE,0.5818776957421177,0.009178802497941702,5,0.5819 +/- 0.0092
Lipophilicity,all_3d_aug,MAE,0.5858247383236769,0.00963381159864998,5,0.5858 +/- 0.0096
