task,task_type,policy,mean,sd,n_partitions,mean_sd
BACE,classification,R7,0.0036749334101380043,0.003102631610226898,5,0.00367 +/- 0.00310
BACE,classification,R8,0.0027805645403153278,0.002270816852167018,5,0.00278 +/- 0.00227
BACE,classification,R9,0.0015100178192387801,0.001753894231591526,5,0.00151 +/- 0.00175
BACE,classification,Random,0.0012822015615218205,0.0033667361730106917,5,0.00128 +/- 0.00337
BBBP,classification,R7,-0.003028189839289793,0.0037659715415625976,5,-0.00303 +/- 0.00377
BBBP,classification,R8,-0.001545927003978814,0.0024458905427817194,5,-0.00155 +/- 0.00245
BBBP,classification,R9,-0.00033401493844752,0.0008294251037292736,5,-0.00033 +/- 0.00083
BBBP,classification,Random,-0.003789686080844793,0.00417331583568789,5,-0.00379 +/- 0.00417
ESOL,regression,R7,-0.007578690639399847,0.00415367922080818,5,-0.00758 +/- 0.00415
ESOL,regression,R8,-0.003624318013717328,0.0033109835601153846,5,-0.00362 +/- 0.00331
ESOL,regression,R9,-0.001654457228962796,0.0014531440668252495,5,-0.00165 +/- 0.00145
ESOL,regression,Random,-0.008345226937730505,0.002875407021331643,5,-0.00835 +/- 0.00288
FreeSolv,regression,R7,0.016420928930848806,0.054017011360733516,5,0.01642 +/- 0.05402
FreeSolv,regression,R8,0.007795287928144592,0.01481624549844837,5,0.00780 +/- 0.01482
FreeSolv,regression,R9,-0.000249250342423396,0.0003058808236837019,5,-0.00025 +/- 0.00031
FreeSolv,regression,Random,0.005775492064477356,0.05237817397785139,5,0.00578 +/- 0.05238
HIV,classification,R7,0.018513821766800265,0.026054896649081716,5,0.01851 +/- 0.02605
HIV,classification,R8,0.007934394953492734,0.012287498610904352,5,0.00793 +/- 0.01229
HIV,classification,R9,0.0,0.0,5,0.00000 +/- 0.00000
HIV,classification,Random,0.012733090562072492,0.0179610688644759,5,0.01273 +/- 0.01796
Lipophilicity,regression,R7,-0.0010512180708257839,0.0035209680696496265,5,-0.00105 +/- 0.00352
Lipophilicity,regression,R8,0.00031649492107419376,0.001046580739263581,5,0.00032 +/- 0.00105
Lipophilicity,regression,R9,-0.0002816202008025262,0.0005749275002544496,5,-0.00028 +/- 0.00057
Lipophilicity,regression,Random,-0.0017777192910083562,0.0030271805316966567,5,-0.00178 +/- 0.00303
