task,task_type,policy,mean,sd,n_partitions,mean_sd
BACE,classification,R7,20.16806722689076,0.0,5,20.17 +/- 0.00
BACE,classification,R8,17.54621848739496,1.9421766130991218,5,17.55 +/- 1.94
BACE,classification,R9,12.722689075630253,2.6277675058547194,5,12.72 +/- 2.63
BACE,classification,Random,20.16806722689076,0.0,5,20.17 +/- 0.00
BBBP,classification,R7,20.0,0.0,5,20.00 +/- 0.00
BBBP,classification,R8,17.062295081967214,2.7532863752278023,5,17.06 +/- 2.75
BBBP,classification,R9,6.190163934426229,3.665239434589899,5,6.19 +/- 3.67
BBBP,classification,Random,20.0,0.0,5,20.00 +/- 0.00
ESOL,regression,R7,19.97845641001954,0.10250009709005688,5,19.98 +/- 0.10
ESOL,regression,R8,17.183185682367146,2.6470656182202283,5,17.18 +/- 2.65
ESOL,regression,R9,5.171980291307302,3.606225576686592,5,5.17 +/- 3.61
ESOL,regression,Random,19.97845641001954,0.10250009709005688,5,19.98 +/- 0.10
FreeSolv,regression,R7,19.8847776695878,0.025965595585847726,5,19.88 +/- 0.03
FreeSolv,regression,R8,6.738072054527751,2.2336952179692333,5,6.74 +/- 2.23
FreeSolv,regression,R9,0.9000324569944823,1.556379591751274,5,0.90 +/- 1.56
FreeSolv,regression,Random,19.8847776695878,0.025965595585847726,5,19.88 +/- 0.03
HIV,classification,R7,19.99789584429248,0.004208311415044364,5,20.00 +/- 0.00
HIV,classification,R8,14.255002630194635,4.4513698021807215,5,14.26 +/- 4.45
HIV,classification,R9,0.0,0.0,5,0.00 +/- 0.00
HIV,classification,Random,19.99789584429248,0.004208311415044364,5,20.00 +/- 0.00
Lipophilicity,regression,R7,20.009950239803878,0.016874559584178245,5,20.01 +/- 0.02
Lipophilicity,regression,R8,5.199872872327002,2.6344242838982277,5,5.20 +/- 2.63
Lipophilicity,regression,R9,1.032435076310207,1.7237200315177064,5,1.03 +/- 1.72
Lipophilicity,regression,Random,20.009950239803878,0.016874559584178245,5,20.01 +/- 0.02
