task,method,budget,primary_metric,primary_mean,delta_vs_all_2d_positive_better,call_rate_mean,primary_std
QM9_MU,all_2d,0.0,MAE,0.6301350204530836,0.0,0.0,
QM9_MU,all_3d_aug,100.0,MAE,0.6158034852437169,0.014331535209366697,100.0,
QM9_MU,flexibility,20.0,MAE,0.6192281288153678,0.010906891637715743,20.0,0.0077631427572727
QM9_MU,oracle,20.0,MAE,0.5332085735578656,0.09692644689521801,20.0,0.0069025267692301
QM9_MU,random,20.0,MAE,0.6332287616445897,-0.003093741191506183,20.0,0.0029409316798216
QM9_MU,uncertainty,20.0,MAE,0.6081398483555943,0.021995172097489246,20.0,0.0089343390999555
QM9_MU,voi_router,20.0,MAE,0.6155066848205686,0.014628335632514977,20.0,0.0103265835557954
QM9_R2,all_2d,0.0,MAE,56.06024178378907,0.0,0.0,
QM9_R2,all_3d_aug,100.0,MAE,48.47553217705078,7.584709606738286,100.0,
QM9_R2,flexibility,20.0,MAE,54.73648824003906,1.3237535437500085,20.0,0.4743179045668424
QM9_R2,oracle,20.0,MAE,40.63048198769532,15.429759796093748,20.0,0.3895651399997152
QM9_R2,random,20.0,MAE,55.78941626640625,0.2708255173828178,20.0,1.071558530546623
QM9_R2,uncertainty,20.0,MAE,55.14332899960938,0.9169127841796865,20.0,0.5844249149510989
QM9_R2,voi_router,20.0,MAE,54.44297622226564,1.6172655615234248,20.0,1.7438239401774729
