task,router,MAE,delta_MAE_reduction_vs_2D,relative_reduction_pct,call_rate,std
QM9_MU,oracle,0.5332085735578656,0.09692644689521801,15.381853689948125,20.0,0.0069025267692301
QM9_MU,uncertainty,0.6081398483555943,0.021995172097489246,3.4905490702094517,20.0,0.0089343390999555
QM9_MU,voi_router,0.6155066848205686,0.014628335632514977,2.321460505717778,20.0,0.0103265835557954
QM9_MU,flexibility,0.6192281288153678,0.010906891637715743,1.7308816814963566,20.0,0.0077631427572727
QM9_MU,random,0.6332287616445897,-0.003093741191506183,-0.4909648077140201,20.0,0.0029409316798216
QM9_R2,oracle,40.63048198769532,15.429759796093748,27.52353415742058,20.0,0.3895651399997152
QM9_R2,voi_router,54.44297622226564,1.6172655615234248,2.8848708283507425,20.0,1.7438239401774729
QM9_R2,flexibility,54.73648824003906,1.3237535437500085,2.361305448619735,20.0,0.4743179045668424
QM9_R2,uncertainty,55.14332899960938,0.9169127841796865,1.6355847834477768,20.0,0.5844249149510989
QM9_R2,random,55.78941626640625,0.2708255173828178,0.4830973052655159,20.0,1.071558530546623
