task,seed,all2d_MAE,all3d_MAE,delta_MAE_reduction,relative_reduction_pct
QM9_MU,0,0.6257746485722661,0.618195890495181,0.007578758077085079,1.2111002090571052
QM9_MU,1,0.6307151150470972,0.6203442511969357,0.010370863850161505,1.6443024120941012
QM9_MU,2,0.6210678331023455,0.6137599876842499,0.007307845418095593,1.1766581730036785
QM9_MU,3,0.6282381661288738,0.6110918448015451,0.01714632132732874,2.7292708803386234
QM9_MU,4,0.644879339414835,0.6156254520406723,0.02925388737416268,4.536335029853449
QM9_R2,0,55.46630373632813,47.68853683300782,7.7777669033203125,14.022508044332143
QM9_R2,1,56.59548153369141,48.7532141015625,7.842267432128914,13.856702372008964
QM9_R2,2,56.14670044580078,49.45696084765625,6.689739598144534,11.914751080701947
QM9_R2,3,56.2667458959961,47.89833850683594,8.368407389160161,14.872741005190512
QM9_R2,4,55.82597730712891,48.580610596191406,7.245366710937503,12.978486110644907
