task,task_type,router,BIG_mean,BIG_std,BIG_mean_std,n_seeds
QM9_MU,regression,R7_oof_selected_top,0.011621850870597207,0.008850644503184657,0.011622 +/- 0.008851,5
QM9_MU,regression,R8_oof_selected_gated,0.01128894870089515,0.009053861498440617,0.011289 +/- 0.009054,5
QM9_MU,regression,R9_oof_safe_guardrail,0.009433724084338556,0.010159150004580626,0.009434 +/- 0.010159,5
QM9_MU,regression,flexibility,0.014460218336299574,0.0039671672664916705,0.014460 +/- 0.003967,5
QM9_MU,regression,old_voi,0.019480530005361145,0.00437376044081717,0.019481 +/- 0.004374,5
QM9_MU,regression,oracle,0.0940143956166288,0.005575254527607892,0.094014 +/- 0.005575,5
QM9_MU,regression,random,0.0036320581067565043,0.009074332759644284,0.003632 +/- 0.009074,5
QM9_MU,regression,uncertainty,0.019805332873634757,0.0022774881107779188,0.019805 +/- 0.002277,5
QM9_R2,regression,R7_oof_selected_top,4.132772527541504,0.8805291873503073,4.132773 +/- 0.880529,5
QM9_R2,regression,R8_oof_selected_gated,4.132772527541504,0.8805291873503073,4.132773 +/- 0.880529,5
QM9_R2,regression,R9_oof_safe_guardrail,4.132772527541504,0.8805291873503073,4.132773 +/- 0.880529,5
QM9_R2,regression,flexibility,2.916922034155276,0.5139236593392991,2.916922 +/- 0.513924,5
QM9_R2,regression,old_voi,4.359933645891115,1.1240049778906416,4.359934 +/- 1.124005,5
QM9_R2,regression,oracle,16.321926510573732,0.26986304645622916,16.321927 +/- 0.269863,5
QM9_R2,regression,random,3.7628064349096677,0.6368646953568468,3.762806 +/- 0.636865,5
QM9_R2,regression,uncertainty,3.9708818317626977,0.5630367899208145,3.970882 +/- 0.563037,5
