task,task_type,router,beneficial_auc_mean,beneficial_auc_std,beneficial_auc_mean_std,beneficial_ap_mean,beneficial_ap_std,beneficial_ap_mean_std,precision_at_20_mean,precision_at_20_std,precision_at_20_mean_std,ndcg_at_20_mean,ndcg_at_20_std,ndcg_at_20_mean_std,utility_spearman_mean,utility_spearman_std,utility_spearman_mean_std,n_seeds
QM9_MU,regression,R7_oof_selected_top,0.5163226873054629,0.021737873557656433,0.516323 +/- 0.021738,0.5494396280939629,0.03635077886114447,0.549440 +/- 0.036351,0.5549999999999999,0.043011626335213125,0.555000 +/- 0.043012,0.3229042901065498,0.07087153372649535,0.322904 +/- 0.070872,0.04812870321758045,0.04245822292216194,0.048129 +/- 0.042458,5
QM9_MU,regression,R8_oof_selected_gated,0.5163226873054629,0.021737873557656433,0.516323 +/- 0.021738,0.5494396280939629,0.03635077886114447,0.549440 +/- 0.036351,0.5549999999999999,0.043011626335213125,0.555000 +/- 0.043012,0.3229042901065498,0.07087153372649535,0.322904 +/- 0.070872,0.04812870321758045,0.04245822292216194,0.048129 +/- 0.042458,5
QM9_MU,regression,R9_oof_safe_guardrail,0.5163226873054629,0.021737873557656433,0.516323 +/- 0.021738,0.5494396280939629,0.03635077886114447,0.549440 +/- 0.036351,0.5549999999999999,0.043011626335213125,0.555000 +/- 0.043012,0.3229042901065498,0.07087153372649535,0.322904 +/- 0.070872,0.04812870321758045,0.04245822292216194,0.048129 +/- 0.042458,5
QM9_MU,regression,flexibility,0.517336626712471,0.013855199496785684,0.517337 +/- 0.013855,0.5266945954677629,0.02242766540280993,0.526695 +/- 0.022428,0.525,0.031622776601683784,0.525000 +/- 0.031623,0.2461123339766605,0.025119252418960247,0.246112 +/- 0.025119,0.033319959913075535,0.01669651403766008,0.033320 +/- 0.016697,5
QM9_MU,regression,old_voi,0.5452987007738578,0.031242265639607712,0.545299 +/- 0.031242,0.5516895060038962,0.032331927156511286,0.551690 +/- 0.032332,0.5299999999999999,0.06403124237432847,0.530000 +/- 0.064031,0.37186609394575487,0.018460733918301574,0.371866 +/- 0.018461,0.11445766144153606,0.03812124874832983,0.114458 +/- 0.038121,5
QM9_MU,regression,oracle,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,1.0,7.021666937153402e-17,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5
QM9_MU,regression,random,0.4881846234510595,0.0426803515902327,0.488185 +/- 0.042680,0.5228325260178589,0.05892183441517501,0.522833 +/- 0.058922,0.475,0.08215838362577493,0.475000 +/- 0.082158,0.173691224024144,0.03773964213633597,0.173691 +/- 0.037740,-0.022206555163879104,0.04966923952936945,-0.022207 +/- 0.049669,5
QM9_MU,regression,uncertainty,0.5182579832055934,0.012062384140791882,0.518258 +/- 0.012062,0.523918878007672,0.029354701615438735,0.523919 +/- 0.029355,0.5399999999999999,0.043588989435406726,0.540000 +/- 0.043589,0.29604007927119724,0.016135418187144188,0.296040 +/- 0.016135,0.09426985674641868,0.01937674462279326,0.094270 +/- 0.019377,5
QM9_R2,regression,R7_oof_selected_top,0.5400789137375179,0.0389729947950151,0.540079 +/- 0.038973,0.5878271826711822,0.042079175746529786,0.587827 +/- 0.042079,0.58,0.06595452979136461,0.580000 +/- 0.065955,0.2959411879960732,0.07173942865157142,0.295941 +/- 0.071739,0.052388809720243026,0.06251366880928463,0.052389 +/- 0.062514,5
QM9_R2,regression,R8_oof_selected_gated,0.5400789137375179,0.0389729947950151,0.540079 +/- 0.038973,0.5878271826711822,0.042079175746529786,0.587827 +/- 0.042079,0.58,0.06595452979136461,0.580000 +/- 0.065955,0.2959411879960732,0.07173942865157142,0.295941 +/- 0.071739,0.052388809720243026,0.06251366880928463,0.052389 +/- 0.062514,5
QM9_R2,regression,R9_oof_safe_guardrail,0.5400789137375179,0.0389729947950151,0.540079 +/- 0.038973,0.5878271826711822,0.042079175746529786,0.587827 +/- 0.042079,0.58,0.06595452979136461,0.580000 +/- 0.065955,0.2959411879960732,0.07173942865157142,0.295941 +/- 0.071739,0.052388809720243026,0.06251366880928463,0.052389 +/- 0.062514,5
QM9_R2,regression,flexibility,0.4396120712863171,0.0074979802052763025,0.439612 +/- 0.007498,0.5180077934314264,0.018184321181332508,0.518008 +/- 0.018184,0.505,0.03316624790355401,0.505000 +/- 0.033166,0.29284789462684824,0.021554626682483643,0.292848 +/- 0.021555,-0.07944055209834767,0.01798237003282376,-0.079441 +/- 0.017982,5
QM9_R2,regression,old_voi,0.5295220759633658,0.026723372427839533,0.529522 +/- 0.026723,0.5742237432444923,0.025033259029294156,0.574224 +/- 0.025033,0.56,0.040620192023179784,0.560000 +/- 0.040620,0.3463829053038927,0.014714695681430849,0.346383 +/- 0.014715,0.06659986499662493,0.038897171478294315,0.066600 +/- 0.038897,5
