task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
QM9_MU,regression,R7_oof_selected_top,0.0,0.6301350204530834,0.008031889405408273,0.630135 +/- 0.008032,0.0,0.0,0.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,5.0,0.6240984294265866,0.00652988303299783,0.624098 +/- 0.006530,5.0,0.0,5.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,10.0,0.6227130094210505,0.00813958485755584,0.622713 +/- 0.008140,10.0,0.0,10.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,20.0,0.6214244921282559,0.009768353532907798,0.621424 +/- 0.009768,20.0,0.0,20.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,40.0,0.6191597781400591,0.010687611548793241,0.619160 +/- 0.010688,40.0,0.0,40.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,60.0,0.6156022408606201,0.006592726057447972,0.615602 +/- 0.006593,60.0,0.0,60.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,80.0,0.6155248537475257,0.008099444886936757,0.615525 +/- 0.008099,80.0,0.0,80.000000 +/- 0.000000,5
QM9_MU,regression,R7_oof_selected_top,100.0,0.6158034852437169,0.003248054558728587,0.615803 +/- 0.003248,100.0,0.0,100.000000 +/- 0.000000,5
QM9_MU,regression,R8_oof_selected_gated,0.0,0.6301350204530834,0.008031889405408273,0.630135 +/- 0.008032,0.0,0.0,0.000000 +/- 0.000000,5
QM9_MU,regression,R8_oof_selected_gated,5.0,0.6240984294265866,0.00652988303299783,0.624098 +/- 0.006530,5.0,0.0,5.000000 +/- 0.000000,5
QM9_MU,regression,R8_oof_selected_gated,10.0,0.6227130094210505,0.00813958485755584,0.622713 +/- 0.008140,10.0,0.0,10.000000 +/- 0.000000,5
QM9_MU,regression,R8_oof_selected_gated,20.0,0.6214244921282559,0.009768353532907798,0.621424 +/- 0.009768,20.0,0.0,20.000000 +/- 0.000000,5
QM9_MU,regression,R8_oof_selected_gated,40.0,0.6191597781400591,0.010687611548793241,0.619160 +/- 0.010688,40.0,0.0,40.000000 +/- 0.000000,5
